Orthogroup	Noccaea_praecox	Cochlearia_excelsa
OG0000015	Np007G409210	g3315, g8709, g8210, g24633
OG0000015	Np007G416110	g3775, g53218, g3753, g42134
OG0000015	Np007G416100	g35685, g3173
OG0000015	Np001G036120	g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986
OG0000015	Np001G029500	g28764, g14677, g6769, g4758, g26125, g35711, g35700
OG0000017	Np003G166290	g5712, g5713
OG0000017	Np003G171300	g41997, g33121, g3359, g6214
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069
OG0000019	Np003G156030, Np004G211950	g16592, g1020, g46208, g40680, g40322, g46628, g9756
OG0000019	Np003G166760, Np002G106220	g11917, g53760, g9705, g35966, g50936, g40612, g52670, g3241, g43706
OG0000019	Np001G027620	g6080, g43707, g18316, g27825, g2481, g24975
OG0000019	Np001G031440, Np004G225560	g28265, g50725, g16517, g46209, g52302, g45606, g36844, g286, g17795, g27603
OG0000019	Np004G239770	g18942, g2713
OG0000019	Np007G405080, Np001G027610	g2720, g19256
OG0000020	Np002G102400	g49592
OG0000020	Np005G303330, Np004G208430	g25930, g51375
OG0000020	Np008G428370	g29531
OG0000021	Np005G303890	g14063
OG0000021	Np004G199140	g49151, g1467, g49844, g38320, g45682, g1448, g6810, g18622, g34726, g49020, g50933, g50080, g51436, g35680, g25137, g25135, g25134, g41636, g35681, g14225, g40050, g47160, g49473, g26165
OG0000021	Np002G109960, Np003G148260	g3725, g24106, g46643
OG0000023	Np005G283730	g23897
OG0000023	Np003G180640	g48946, g43193
OG0000023	Np005G284010	g25715, g48949
OG0000024	Np002G092500, Np002G100170, Np001G029650, Np002G091590, Np007G393480	g45320, g32515
OG0000024	Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770	g36076
OG0000025	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400	g39418, g24597
OG0000026	Np002G101380, Np004G216210	g17281, g33392, g4347, g50791, g25246, g46637
OG0000026	Np003G171320	g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391
OG0000027	Np004G198060, Np004G198040	g43450
OG0000027	Np004G214870, Np005G271730, Np004G214850	g28294
OG0000027	Np001G057950, Np001G057940	g2269
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	g16178, g36823, g26225, g26222, g43704, g4265, g4261, g27334, g29817, g13419
OG0000029	Np002G090000	g27333
OG0000029	Np001G030650	g4324, g3304
OG0000029	Np001G034960, Np004G225420	g41853
OG0000029	Np001G003630, Np001G034950	g41968
OG0000029	Np003G172500	g49276, g4525, g37385, g6082
OG0000029	Np002G113330, Np005G304980	g45349
OG0000029	Np004G242790, Np003G126680	g1671, g52104, g17776
OG0000029	Np003G167270	g95
OG0000029	Np003G172510	g1672
OG0000030	Np004G229860	g41465, g35926
OG0000030	Np003G173700	g6307, g53556
OG0000030	Np006G347830	g31186
OG0000030	Np002G096310	g35927, g599, g13492, g26692, g27960, g54342, g16927, g43602, g51339
OG0000030	Np006G330890	g43791, g44909, g43774, g43790, g5736
OG0000033	Np005G284050	g23911
OG0000033	Np005G284160	g23912
OG0000034	Np007G396340	g15118, g44910
OG0000034	Np002G102640, Np002G107950, Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530, Np006G341510	g15664, g3441, g9297
OG0000035	Np002G092640, Np006G364470	g3814
OG0000036	Np006G342180, Np004G233440, Np005G260660	g3196
OG0000036	Np006G350450	g23185, g33000
OG0000036	Np006G342170, Np003G136960, Np002G107350, Np007G403810	g49100, g41178, g43966
OG0000037	Np001G045190	g24879, g28165, g5623, g29089, g26707, g24763, g47054, g2374, g50425, g35466
OG0000037	Np005G278320	g23617
OG0000037	Np002G088180	g39408
OG0000037	Np002G110300, Np005G302190	g20917, g29939, g20308, g28559, g25198, g14254, g2520, g10090, g6551, g27201, g54294, g38089, g14278, g52663, g1250, g13609
OG0000038	Np003G157800	g1070
OG0000039	Np002G106970	g4633
OG0000039	Np002G100620, Np005G297660, Np009G432470	g43206, g26753, g50113, g53808
OG0000040	Np001G009070	g38367, g38376, g38372, g38380
OG0000040	Np004G224970, Np004G224940	g44631
OG0000041	Np003G171490, Np002G100930	g28599
