Orthogroup	Alyssum_gmelinii	Arabidopsis_arenosa
OG0000189	Ag003G276230	jg8545
OG0000189	Ag003G260770, Ag003G290210	jg13671
OG0000190	Ag002G140140	jg7702
OG0000190	Ag002G128880	jg7704
OG0000190	Ag002G128820	jg7703
OG0000190	Ag002G140040, Ag002G139950	jg7707, jg7705, jg32186
OG0000191	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420	jg25728
OG0000191	Ag005G457490, Ag005G457480	jg27860, jg27859
OG0000191	Ag005G461560, Ag005G461580, Ag005G461550, Ag005G461640, Ag005G460960	jg25713, jg25714, jg25718, jg25676, jg25675, jg25673
OG0000192	Ag004G336350	jg30670
OG0000192	Ag008G727670	jg3362
OG0000192	Ag004G336340, Ag004G336360, Ag004G336330	jg30665, jg30667, jg30662, jg30666, jg30668
OG0000193	Ag002G194540	jg26294
