Orthogroup	Cardamine_hirsuta	Aethionema_saxatile
OG0000294	CARHR092710	As011G249490
OG0000294	CARHR131330	As006G145420
OG0000294	CARHR142440	As005G099900
OG0000294	CARHR249810	As006G122700
OG0000294	CARHR001810	As008G198060
OG0000295	CARHR057270	As011G246810
OG0000297	CARHR118860, CARHR244920, CARHR244890, CARHR121660, CARHR121670, CARHR121680, CARHR121720	As008G198730
OG0000297	CARHR274100, CARHR095150	As005G114280
OG0000299	CARHR119900, CARHR071990	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	CARHR152230	As010G241860, As009G207860
OG0000299	CARHR045650	As012G267900
OG0000303	CARHR286360	As003G069740
OG0000308	CARHR018220, CARHR065850, CARHR065800, CARHR065780, CARHR262010, CARHR018200, CARHR065820	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	CARHR157270	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	CARHR196640	As009G202530
OG0000311	CARHR038100	As012G273730
OG0000311	CARHR093170	As011G249880
OG0000311	CARHR215260	As004G077290
OG0000311	CARHR292180	As001G029000
OG0000313	CARHR227020, CARHR227030, CARHR227040, CARHR227060	As003G058420
OG0000314	CARHR004130	As008G195840
OG0000314	CARHR004140	As006G125760
OG0000314	CARHR126540	As006G125440
OG0000319	CARHR204750, CARHR007730	As006G129730, As005G114310, As008G191530
OG0000321	CARHR215670, CARHR215220, CARHR215200, CARHR215650, CARHR215620, CARHR215640, CARHR215560, CARHR215610, CARHR215570	As001G010170
OG0000322	CARHR071920	As009G214030
OG0000322	CARHR036870	As001G014750
OG0000322	CARHR260510, CARHR135390	As007G153590
OG0000323	CARHR267340	As002G045490
OG0000323	CARHR235360	As005G112480
OG0000328	CARHR220880	As001G029880
OG0000328	CARHR263560, CARHR263570	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070
OG0000329	CARHR139920, CARHR139910, CARHR096590, CARHR167680	As007G180560
