Orthogroup	Cardamine_hirsuta	Erysimum_linariifolium
OG0000124	CARHR287060, CARHR146840, CARHR038370, CARHR217450	El001G053440
OG0000124	CARHR183660	El001G065890
OG0000125	CARHR163570	El001G024280
OG0000125	CARHR210790	El005G244660, El001G080460
OG0000125	CARHR190650	El001G057350
OG0000125	CARHR273520	El007G331030
OG0000125	CARHR154390, CARHR154340	El001G015130
OG0000125	CARHR121850	El006G304720
OG0000127	CARHR083500	El005G244320
OG0000127	CARHR083490, CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100	El001G001730
OG0000131	CARHR283860	El006G311530
OG0000136	CARHR058600	El004G215950, El004G215940
OG0000136	CARHR214760, CARHR214790	El004G209050, El004G209110
OG0000136	CARHR214860	El003G186400, El003G186460
OG0000136	CARHR214810	El003G186500
OG0000136	CARHR276580	El007G327820
OG0000136	CARHR272990	El007G355150, El007G356600
OG0000137	CARHR180340	El002G124820, El003G184880
OG0000137	CARHR119160	El002G126030
OG0000137	CARHR261370	El003G191580
OG0000138	CARHR113950	El006G314590
OG0000138	CARHR274880, CARHR274890, CARHR274860	El001G050920
OG0000138	CARHR153120	El001G045840
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	El001G045810, El001G045830
OG0000140	CARHR155420	El001G016150
OG0000140	CARHR285530	El007G331970
OG0000140	CARHR285410	El007G332020
OG0000140	CARHR272760, CARHR272770, CARHR053670	El007G332560, El007G332570, El007G332540
OG0000140	CARHR272750	El007G332580, El007G332590
OG0000140	CARHR285460, CARHR285480	El007G332010, El007G332000
OG0000142	CARHR122550	El006G303720
OG0000142	CARHR122540	El006G303780
OG0000142	CARHR122570, CARHR122580, CARHR119640	El006G303820
OG0000142	CARHR119630, CARHR119600, CARHR124170, CARHR124160, CARHR124140	El006G301970, El006G301960
OG0000146	CARHR268710	El007G336800
OG0000146	CARHR268720	El007G336790
OG0000146	CARHR268680	El007G336850
OG0000146	CARHR268700	El007G336810
OG0000146	CARHR268690	El007G336820
OG0000147	CARHR238090	El003G152940
OG0000147	CARHR271150	El007G334350
OG0000147	CARHR073860	El004G233720
OG0000147	CARHR153650	El001G047010
OG0000147	CARHR104060	El005G271430
OG0000147	CARHR117520	El006G316840
OG0000149	CARHR154790, CARHR154820	El001G015560
OG0000149	CARHR122210	El006G308870
OG0000150	CARHR118700, CARHR273840	El006G312860
