Orthogroup	Arabidopsis_lyrata_Rawat	Cochlearia_excelsa
OG0000083	AL57U10020, AL3G37440, AL3G37430, AL3G37570, AL3G37560	g46885
OG0000083	AL1G47960	g7705
OG0000084	AL4G15550, AL4G18570, AL4G14530, AL4G14510, AL4G14520	g51024
OG0000085	AL9U10400	g6225, g11811
OG0000085	AL3G51220, AL6G30230	g2447
OG0000085	AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380	g28998, g41305
OG0000085	AL7G52520	g22798, g27140, g51223, g23925, g9976, g44428, g45095
OG0000085	AL3G48900	g41306
OG0000085	AL9U11250, AL3G29600, AL1G64180	g45986, g16819, g33053, g33047, g32349
OG0000085	AL7G52690	g50685, g15804
OG0000085	AL1G47700, AL3G42270, AL2G24190, AL6G40850, AL2G32540, AL7G41350, AL3G37700	g45065
OG0000085	AL4G43300, AL6G35520, AL6G51820, AL1G48000	g17068, g32641, g23586, g17797, g646
OG0000085	AL2G20150	g39882, g12326, g32434, g40957, g11412, g53404, g14573
OG0000085	AL3G17400	g25696, g16012, g23626, g25615, g24420, g4774, g41376
OG0000085	AL1G38790	g6725, g47748, g6734, g41005, g28612, g45253, g40136, g37419, g6446
OG0000085	AL5G12950	g35064, g2142, g24601, g4079, g52808, g53049
OG0000085	AL4G27640	g32660, g2312, g7031, g28845
OG0000085	AL4G12180, AL2G24020, AL5G19730, AL2G18440	g47102, g28846
OG0000087	AL6G35120	g9991
OG0000087	AL8G39670	g9845, g2817, g339
OG0000087	AL6G23060	g5316
OG0000087	AL8G15560	g40485, g11055
OG0000087	AL7G33260	g17371, g24042
OG0000087	AL1G32740, AL2G35770	g46232
OG0000088	AL5G23250	g11453
OG0000088	AL5G26810	g46886
OG0000088	AL6G32010	g28933, g28934
OG0000089	AL6G20220	g5448, g29544, g45521
OG0000089	AL3G32160, AL1G56110	g13323, g11989
OG0000089	AL4G40470	g52029
OG0000090	AL2G24470, AL4G11370, AL1G32980	g50123
OG0000090	AL2G35960	g46242
OG0000090	AL5G42190, AL7G16760, AL5G12830, AL3G47920, AL5G12840, AL1G20940	g10675
OG0000091	AL8G16330, nbis-gene-1790, nbis-gene-1053, AL7G47240, nbis-gene-2125	g3977
OG0000093	AL5G40110	g2360
OG0000093	AL5G39980, AL5G40000	g18958
OG0000096	AL2G18750, AL5G12940, AL5G12970, AL5G12960	g1538, g1535
OG0000096	AL8G20320, nbis-gene-2073, AL2G15700	g44008, g44009, g44007
OG0000097	AL6G49050	g45186, g45201
OG0000097	AL9U10550	g45182
OG0000097	AL6G49150, AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010	g40477, g40479, g40476, g40480, g1561
OG0000098	nbis-gene-1028	g49817
OG0000099	AL2G11060	g24889
OG0000099	AL2G11040	g43603
OG0000099	AL2G11960	g46874, g4737
OG0000100	AL2G20140, AL8G14910, AL5G22850, nbis-gene-262	g32974
OG0000101	AL2G11200, AL2G23700	g13563
OG0000101	AL2G11380	g40795
OG0000102	AL7G22190	g2701, g43502, g42120, g25862
OG0000102	AL5G31380	g42271
OG0000102	AL6G34160	g19357
OG0000102	AL1G44840	g40702, g34414
OG0000102	AL7G44340	g46693, g45401, g3397, g25742, g18404, g50268, g46262
OG0000102	AL7G43200	g31405
OG0000102	AL6G44310	g14670, g14674, g3225, g25089, g23755, g37179
OG0000102	AL236U10030	g16420
OG0000102	AL3G53440	g2810, g52815, g32214, g49776, g16019, g45814
OG0000102	AL2G36550	g44457, g26056, g51982, g14689, g53169, g45038, g7327, g52993, g53005, g39776, g17169, g30940, g42556, g42170, g42155
OG0000102	AL6G43960	g3107, g48300
OG0000104	AL1G17740	g31072
OG0000104	AL1G59850	g54244, g54237, g54238
OG0000104	nbis-gene-14	g51117
OG0000104	AL4G23520	g51119
OG0000105	AL5G25560	g42819, g43845
OG0000105	AL1G53250, AL1G56270	g43456
OG0000106	AL3G31590	g49764
