Orthogroup	Arabidopsis_lyrata_Rawat	Aethionema_saxatile
OG0000368	AL7G13510, AL7G13520	As003G073560, As003G073580
OG0000368	AL2G24410, AL2G24540, nbis-gene-1705	As003G073600, As003G073590
OG0000369	AL8G36410	As006G129520
OG0000370	AL1G29180, AL7G27830, AL7G27840	As007G153440
OG0000371	AL1G39190, AL4G46780, AL1G12810, AL1G22510	As005G099710, As005G099720
OG0000372	AL7G25660, AL7G25650, AL7G25640	As006G132540, As006G132550
OG0000377	AL1G21740	As001G021090
OG0000378	AL7G43380, AL3G37650, AL1G50470	As003G067400
OG0000382	AL5G45310, AL1G11940, AL6G51150	As006G122900
OG0000382	nbis-gene-54	As008G188710
OG0000383	AL1G42230, AL1G42250, AL1G49520, AL4G21310	As003G069230
OG0000383	AL1G42200, AL1G42220	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000386	AL5G14950, AL5G14940	As001G025230, As001G025220, As011G256850
OG0000386	AL5G34200	As012G276900, As012G276880
OG0000390	AL6G34750	As001G012620
OG0000390	AL3G42690, AL3G30610	As011G251840
OG0000391	AL1G35790	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	AL7G52760, AL7G52750, nbis-gene-1341	As010G221200, As010G221190, As010G221180
OG0000396	AL5G17950	As001G026970
OG0000396	AL5G17990, AL5G18010, AL5G18000	As001G026990, As001G027000, As001G027010
OG0000398	AL1G63260	As012G268810
OG0000403	AL2G16410	As001G020780, As001G020790
OG0000404	AL4G32260, AL3G23060, AL5G33360	As012G276100
OG0000404	AL6G16080	As006G144680, As002G037330
OG0000406	AL6G27980, AL6G27990, AL6G28000, AL7G53000	As006G136090
OG0000407	nbis-gene-1522, AL1G39220, AL1G39230, AL1G54210, AL6G25720	As009G201130, As009G201860
OG0000409	AL4G38000, AL4G38030	As001G002920
OG0000410	AL2G14740, AL2G14750, AL2G14800, AL2G14760, nbis-gene-402, nbis-gene-401, nbis-gene-400, AL2G14930, AL2G14910, AL2G14860, AL2G14890	As001G021670, As001G021680
OG0000411	AL2G13870	As001G022090
OG0000411	AL3G43130	As011G261620
OG0000411	AL6G48090	As004G085710
OG0000411	AL7G31720	As003G060010
OG0000412	AL8G30090	As002G046400
OG0000413	AL3G25430	As011G245460
OG0000413	AL7G26630, AL8G32300	As002G048240
OG0000413	AL1G63380	As012G268650
OG0000414	AL1G39370, AL1G39340, AL1G39380, AL1G39360, AL1G39330, AL7G33350	As003G058750, As003G058770, As003G058760
OG0000415	AL6G39500, AL4G41100	As005G104640
OG0000416	AL4G26970, AL4G27140	As006G125710
OG0000416	AL1G15520, AL4G15340	As006G127220, As008G194210
OG0000417	AL3G39540, AL3G39570, AL3G39550, AL1G27780, AL6G47130, AL6G48160, AL6G48200, AL6G43490	As007G163710, As008G186410
OG0000420	AL4G37990, AL4G38020	As010G222670
OG0000420	nbis-gene-910	As001G015280
OG0000421	AL7G51350, AL7G51330, AL7G51310, AL7G51320, AL7G51340, nbis-gene-1951, AL7G51280	As004G078160, As004G078150
OG0000422	AL1G20020, AL1G20030, nbis-gene-56	As008G188280, As008G188290, As008G188300
OG0000423	AL2G32410	As010G241040
OG0000423	AL1G63030	As012G269020
OG0000429	AL6G37110	As009G215310
OG0000429	AL6G21860	As002G052030
OG0000429	AL7G19450, AL4G16950	As001G004910
OG0000430	AL3G49230	As011G263500
OG0000430	AL7G16340	As001G014590
OG0000430	AL4G10220	As007G181940
OG0000431	AL2G17860	As001G019780
OG0000431	AL1G20710, AL1G20700	As008G187750
OG0000432	AL8G27110	As002G044400
OG0000432	AL7G26330	As006G134280
OG0000432	AL8G31590, AL8G31580	As002G047750
OG0000433	AL2G21170, AL2G21190, AL2G21150	As003G075340
OG0000433	AL1G67500	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400
OG0000435	nbis-gene-139	As001G004050, As006G138290
OG0000436	AL7G26730, AL8G32540, AL3G48500	As011G266430, As002G048360
OG0000437	AL1G47970	As003G062850
OG0000439	AL1G15970, AL1G15980	As008G194170
OG0000439	AL5G41390	As012G285510
OG0000439	AL4G26640	As006G127290
OG0000440	AL4G32280, AL6G28550, AL3G13070	As006G136440
OG0000441	AL3G29280	As011G248660
OG0000441	AL3G29270, AL3G29260	As011G248650
OG0000446	AL8G39430	As009G219000
OG0000446	AL5G11960	As001G023650
OG0000446	AL1G26290	As008G183010
OG0000447	AL3G27410	As011G247170
OG0000447	AL4G29700	As004G081330
OG0000448	AL8G11320, AL8G11330, AL8G11340, AL8G11310	As004G089550
OG0000449	AL8G36460	As005G114720
OG0000449	AL5G24720	As010G224870
OG0000449	AL8G36450	As005G114730
OG0000452	AL8G20400	As001G002300, As001G002310
OG0000453	AL8G41530	As002G033360
OG0000454	AL8G27180, AL8G27190, AL8G27200	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000455	nbis-gene-127, nbis-gene-136, nbis-gene-130, nbis-gene-134, nbis-gene-128, nbis-gene-135, nbis-gene-129, nbis-gene-427, nbis-gene-426, nbis-gene-320, nbis-gene-428	As007G178440
OG0000459	AL7G33050, AL7G33120, AL7G33100	As003G058960
OG0000460	nbis-gene-413, nbis-gene-414	As005G099100
OG0000461	AL1G10010	As008G199680
OG0000462	nbis-gene-216, nbis-gene-954, nbis-gene-953, AL7G52140, nbis-gene-883, AL6G26180	As009G214710
OG0000463	AL5G25690, AL5G25670, AL5G25660, AL5G25650, AL5G25640, AL5G25590, AL5G25550, AL5G25630	As010G224360, As010G224370
OG0000465	AL3G43600	As001G010580, As004G090240
OG0000466	AL6G13690, AL6G12720, AL9U10960, AL2G28010	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000468	AL5G35780	As012G280020
OG0000468	AL4G28330	As006G125920
OG0000468	AL4G36250	As006G144160
OG0000471	AL1G42800, AL1G42830	As003G069540, As003G069550
OG0000472	AL7G49750	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	AL7G49760	As004G097020
OG0000473	AL213U10010	As012G288330, As005G099530
OG0000474	AL5G28440, AL7G21330, AL4G14210	As009G216860, As011G261780, As010G222300
OG0000477	AL8G34610	As003G057970
OG0000477	AL6G17270	As004G084280, As009G211280
OG0000481	AL2G14390	As001G021880
OG0000482	AL2G25460	As004G077750, As001G028390
OG0000483	AL8G30960	As002G047220
OG0000484	AL7G14900, AL8G14320, AL8G14230, AL8G14370, AL8G13580, AL8G13620, AL8G13740, AL6G28990	As009G203850
OG0000486	AL3G32470	As001G013270, As001G013060
OG0000487	AL4G29020	As006G137570, As008G196100
OG0000495	AL4G16330	As001G001610, As001G001580, As001G001640, As001G001650
OG0000495	AL7G22530, AL4G13490	As007G179430, As007G177930
OG0000496	AL3G47380	As002G041620, As001G004760, As001G012100, As004G090800
OG0000496	AL8G19140	As007G177440
OG0000498	AL8G28110	As002G045150
OG0000499	AL7G36030	As003G056720
OG0000499	AL3G26790	As011G246530
OG0000499	AL3G26800	As012G269540
OG0000500	AL65U10050, AL8G14290, AL65U10030	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480
OG0000500	AL8G14270, AL8G14220	As004G087470
OG0000501	AL1G49900	As010G232220
OG0000504	AL6G11890, AL4G36740	As006G143860
OG0000504	AL3G20680	As002G037010, As002G034340
OG0000505	AL6G36840, AL6G36790, AL6G36770	As009G215510
OG0000506	AL3G46310, AL2G24380, AL6G16140, AL2G31500, AL106U10010	As010G234690
OG0000510	AL2G16170, AL2G16180, AL2G16160, AL2G16110, AL2G16130	As001G020890, As001G020900
OG0000511	AL3G36330, AL2G13380	As001G032060
