Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_amara
OG0000062	AL8G14210, AL1G57050, AL5G16890, AL1G58670, AL1G58560, AL4G20020, AL7G36270, AL1G30000, AL5G27080, AL3G51940	evm.model.RL_1.3086, evm.model.RL_2.842
OG0000063	AL5G25220	evm.model.RL_6.1828
OG0000063	AL4G23280, AL8G36210	evm.model.RL_5.633
OG0000065	AL7G38070	evm.model.RL_2.685, evm.model.RL_5.2501
OG0000065	AL8G10180, AL5G20920	evm.model.RL_8.2425, evm.model.RL_6.602, evm.model.RL_6.620, evm.model.RL_3.887, evm.model.RL_6.658, evm.model.RL_3.830, evm.model.RL_3.822, evm.model.RL_6.659, evm.model.RL_4.717, evm.model.RL_2.695, evm.model.RL_5.2490, evm.model.RL_3.832, evm.model.RL_3.819, evm.model.RL_3.833, evm.model.RL_3.826, evm.model.RL_3.824, evm.model.RL_8.1017, evm.model.RL_4.716
OG0000066	AL2G35580	evm.model.RL_3.1975
OG0000066	AL1G32620	evm.model.RL_5.1818
OG0000066	AL6G20900	evm.model.RL_4.2541, evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	AL5G16700	evm.model.RL_8.2622
OG0000067	AL3G20250, AL3G20240, AL3G20260	evm.model.RL_7.2627
OG0000067	AL8G28020, AL8G27750, AL1G48230, AL3G11550, AL1G25630, AL6G12910, AL3G38420, AL6G12880, AL6G12890, AL6G12860, AL6G12550, AL5G24850	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9
OG0000069	AL5G31050, nbis-gene-12, AL1G60290, AL5G25100	evm.model.RL_4.1093
OG0000070	AL2G23610	evm.model.RL_6.606
OG0000070	AL1G50200	evm.model.RL_1.2599
OG0000070	AL5G18180, AL5G24080	evm.model.RL_3.776
OG0000071	AL6G40690	evm.model.RL_6.950, evm.model.RL_6.355, evm.model.RL_4.341, evm.model.RL_6.3
OG0000072	AL6G46480	evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082
OG0000072	AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870, AL6G38840, AL6G40590, AL1G47050, AL6G52460, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL7G34330, AL5G17840, AL8G17600, AL2G22170, AL3G44280, AL7G53070, AL1G54140, AL170U10010, AL3G46660, AL7G45510, AL5G10400, AL3G43610, AL4G17930, AL4G12360, AL5G17970, AL9U10780, AL8G20850	evm.model.RL_3.783
OG0000073	AL8G18480	evm.model.RL_4.629
OG0000073	AL8G11920, AL8G12190	evm.model.RL_4.151, evm.model.RL_4.156
OG0000073	AL8G18470, AL3G20910, AL2G19370	evm.model.RL_6.501
OG0000073	AL6G42230	evm.model.RL_5.2720
OG0000073	AL5G18720	evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175
OG0000074	AL1G37280	evm.model.RL_5.3415
OG0000076	AL5G28950	evm.model.RL_7.1484
OG0000077	AL34U10100, AL8G22340	evm.model.RL_4.914, evm.model.RL_4.878
OG0000077	AL7G11690	evm.model.RL_2.3382
OG0000077	nbis-gene-1691	evm.model.RL_2.3381
OG0000079	AL5G40740	evm.model.RL_7.465
OG0000079	AL7G52220	evm.model.RL_2.379
OG0000080	AL7G46170	evm.model.RL_2.499
OG0000080	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030	evm.model.RL_5.2173
OG0000080	AL1G53180	evm.model.RL_5.3416
OG0000081	nbis-gene-1089, AL3G17170	evm.model.RL_6.922
OG0000081	nbis-gene-419	evm.model.RL_4.293
OG0000084	nbis-gene-1002	evm.model.RL_6.376
OG0000085	AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380	evm.model.RL_2.448
