Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_Rawat
OG0000157	Cg006G1966200, Cg006G1965500	AL1G44920, AL1G44890
OG0000157	Cg006G1966900	AL1G44860
OG0000158	Cg008G2596700	AL7G32560, AL7G30180, AL7G33450
OG0000158	Cg005G1695800	AL6G46400
OG0000160	Cg004G1426700	AL3G52950
OG0000160	Cg001G0100800	AL7G22000
OG0000160	Cg003G0963700	AL8G33330
OG0000160	Cg004G1353700	AL3G44180
OG0000160	Cg007G2573400	AL2G40780
OG0000160	Cg005G1742100	AL4G15040
OG0000162	Cg005G1601500	AL4G28780
OG0000162	Cg005G1601600	nbis-gene-1071
OG0000162	Cg002G0675900, Cg002G0676200, Cg002G0676100	AL5G13350
OG0000162	Cg004G1334900	AL3G42400, AL3G42420
OG0000162	Cg005G1601400	AL4G28810, AL4G28800
OG0000165	Cg006G1858300	AL7G45500
OG0000166	Cg036G3082400	AL1G64890, AL4G16880
OG0000167	Cg004G1301000	nbis-gene-789
OG0000170	Cg005G1473800	AL4G44750
OG0000170	Cg002G0419600	AL5G43250
OG0000170	Cg005G1474000	AL4G44740
OG0000171	Cg003G0916500	AL8G28000
OG0000171	Cg007G2262400	AL7G47650, AL2G10770
OG0000171	Cg004G1402700	AL3G49460
OG0000171	Cg003G0949800	AL8G31780
OG0000171	Cg004G1146700	AL3G19690
OG0000171	Cg001G0123300	AL7G24680
OG0000173	Cg001G0078900	AL7G11730
OG0000173	Cg008G2861400, Cg008G2846800	AL7G12140
OG0000173	Cg001G0073600	AL7G13810
OG0000173	Cg001G0022300, Cg001G0022400	AL7G12790
OG0000174	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200	AL5G24470, AL6G38890, AL3G40990, AL6G49470, AL2G19320, AL4G18060, AL1G56990
OG0000175	Cg006G2031400, Cg007G2474600	AL1G37260
OG0000175	Cg007G2303300, Cg006G2157000	AL1G21480
OG0000175	Cg008G2710700	AL6G25440
OG0000175	Cg002G0406800, Cg005G1457900	AL5G45050, AL2G23510
OG0000176	Cg008G2964200	AL2G31050
OG0000177	Cg006G2054600	AL1G34270, AL1G34310
OG0000177	Cg006G2054500	AL1G34360
OG0000178	Cg003G0742900, Cg003G0743000	AL6G47960
OG0000178	Cg006G1925200	AL6G47980
OG0000178	Cg006G1925100	AL6G47970
OG0000178	Cg003G0802700, Cg003G0803500	AL1G49990
OG0000179	Cg007G2311400	AL2G17250
OG0000182	Cg002G0498500	AL5G39260
OG0000183	Cg001G0339800	AL2G24200, AL7G46650
OG0000183	Cg002G0456600	AL5G38180
OG0000183	Cg008G2776300	AL5G21780
OG0000183	Cg005G1681400	AL4G20560
OG0000185	Cg004G1440400	AL1G11240, AL1G49370, AL1G49350, AL1G49380, AL108U10030
OG0000185	Cg003G1044200	AL8G40780
OG0000185	Cg004G1189300	AL1G37710, AL1G37720, AL1G37670
OG0000185	Cg006G1989500	AL1G42110, AL1G41350
OG0000187	Cg005G1772000	nbis-gene-932, AL4G10910
OG0000187	Cg006G2070900	AL1G32210
OG0000187	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500	AL4G24590, AL4G24560, AL4G24330, AL4G24610, AL4G24350, AL4G24620, AL4G24340, AL4G24320
OG0000188	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900	nbis-gene-688
OG0000188	Cg004G1107000	AL3G14700
OG0000189	Cg002G0515600	AL5G31720
OG0000189	Cg001G0040600	AL7G15090
OG0000189	Cg004G1414100	AL3G50830
OG0000189	Cg007G2529500	AL2G35850
OG0000189	Cg006G2064800	AL1G32900
OG0000192	Cg006G1993900	AL2G13220
OG0000193	Cg004G1230500	AL3G46410, AL3G46450, AL8G22710, AL3G29470
OG0000193	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400	AL1G53610
OG0000193	Cg006G1948300	AL1G46640, AL1G46660, AL1G46620
OG0000195	Cg004G1434800, Cg004G1435000, Cg004G1433700, Cg004G1435100, Cg004G1434700	AL3G48600
OG0000195	Cg003G0787700	AL8G36490
OG0000196	Cg001G0388500	AL7G47590, AL7G47570, AL7G47600, AL4G22240, AL7G47850
OG0000196	Cg001G0388000, Cg001G0388200	AL7G47540
OG0000196	Cg001G0387900, Cg001G0387800, Cg001G0388400	AL7G47550
OG0000197	Cg001G0205400	AL7G34530
OG0000197	Cg001G0205200	AL7G34490
OG0000198	Cg002G0692800	AL5G13150, AL5G10520
OG0000198	Cg006G2114000	AL1G26980, AL1G27000
OG0000198	Cg006G2113800, Cg006G2113700	AL1G27010
OG0000198	Cg002G0664200	AL5G15240
OG0000199	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200	AL1G59580, AL1G61110, AL1G54760
OG0000199	Cg014G3034400, Cg008G2903900	AL7G22480
OG0000199	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200	AL6G29250, AL6G29230
OG0000200	Cg006G2210500	AL1G15400
OG0000200	Cg006G2210600	AL1G15390
OG0000200	Cg006G1857600	AL1G44070
OG0000200	Cg006G1857700	AL1G44060, AL1G44080
OG0000201	Cg005G1716200	AL8G34590
OG0000202	Cg003G0719400	AL6G50950
OG0000203	Cg002G0442000	AL5G39980, AL5G40000
OG0000203	Cg002G0441200	AL5G40120
OG0000203	Cg002G0441400	AL5G40110
OG0000203	Cg002G0441100	AL5G40140
OG0000203	Cg002G0441500	AL5G40100
OG0000205	Cg006G1892500	AL6G41080, AL6G41170, AL7G33750, AL2G20320, AL2G20330, AL3G54100, AL3G45590
OG0000206	Cg003G0826800, Cg003G0827100	AL4G21300
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	AL4G19750, AL1G65550, AL6G38580, AL7G43560, AL7G51990, AL8G15360, AL3G41540, AL4G19070, AL2G18810, AL3G43060, AL4G18690, AL6G42480, AL8G21750, AL25U10040, AL9U12130, AL6G41070, AL8G20340, AL2G15790, AL3G39650, AL8G19240, AL4G14050
OG0000209	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400	AL1G20200
OG0000209	Cg008G2968000	AL5G25310
OG0000209	Cg008G2670300, Cg008G2670600, Cg008G2677700	AL6G20830
OG0000209	Cg005G1613100, Cg003G0772300	AL4G30220
OG0000209	Cg006G1996300	AL1G43860
OG0000210	Cg005G1480200	AL4G44040
OG0000216	Cg003G0750100	AL6G47240
OG0000216	Cg003G0750300, Cg003G0750200	AL6G47230
OG0000216	Cg003G0750000	AL6G43900, AL6G44750
OG0000216	Cg007G2323800	AL2G18850
OG0000216	Cg001G0324000	AL5G37800
OG0000219	Cg001G0279900	AL7G49120, AL7G43790
OG0000222	Cg004G1331800, Cg005G1684300, Cg005G1700400	AL6G40720
OG0000225	Cg007G2558500	AL2G39130
OG0000226	Cg003G0770400	AL6G44610
OG0000227	Cg004G1118500	AL3G16300
OG0000227	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200	AL3G46870
OG0000229	Cg001G0315200	AL4G17660, AL4G17920, AL4G17900
OG0000230	Cg008G2846600, Cg008G2861200, Cg008G2861500	AL5G40610, AL5G40780
OG0000230	Cg001G0350800	AL7G52220
OG0000232	Cg006G1824400, Cg004G1119800	AL3G48740
OG0000232	Cg005G1715100, Cg005G1758600	AL1G53480
OG0000233	Cg008G2647600	AL6G17860
OG0000233	Cg008G2647700, Cg008G2647900, Cg008G2647800	AL6G17870
OG0000233	Cg008G2647500	AL6G17850
OG0000233	Cg008G2647300	AL6G17810, AL6G17910, AL6G17830
OG0000234	Cg008G2601400	AL6G12300
OG0000235	Cg005G1544000	AL4G35970, AL463U10040, AL4G36830
OG0000236	Cg007G2466600	AL2G28820
OG0000236	Cg001G0272600, Cg004G1311000, Cg004G1287200, Cg004G1333500	AL2G23070
OG0000237	Cg006G1842500	AL5G33670
OG0000237	Cg001G0099500, Cg004G1282100	AL3G35490
OG0000238	Cg007G2478900	AL2G30310
OG0000238	Cg008G2832400	AL6G40180
OG0000238	Cg006G2034900, Cg006G2035000	AL6G40330
OG0000238	Cg007G2478700	AL2G30370
OG0000241	Cg001G0185400	AL7G32050
OG0000241	Cg001G0185500	AL7G32060
OG0000241	Cg003G0857500, Cg003G0740200	AL6G48290
OG0000244	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900	AL6G49330, AL6G48870
OG0000244	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400	AL6G48830
OG0000244	Cg003G0728100, Cg003G0869700	AL6G49970, AL6G49560
OG0000246	Cg005G1566300	AL4G32990
OG0000247	Cg001G0351600, Cg001G0351800	AL7G52080
OG0000247	Cg003G0782000, Cg004G1322200, Cg004G1322700	AL3G40220, AL3G40940, AL3G40610
OG0000248	Cg007G2470700	AL2G29310
OG0000248	Cg007G2470600	AL2G29280, AL5G35460
OG0000248	Cg007G2471500	nbis-gene-575
OG0000249	Cg006G1934400	AL1G48110
OG0000249	Cg004G1366500, Cg002G0640600	AL2G10350
OG0000250	Cg003G0862700	AL7G44880
OG0000250	Cg003G0735700	AL6G48930
OG0000251	Cg002G0664000	AL5G15050, AL5G15060, AL5G15070
OG0000251	Cg002G0663800	AL5G15090
OG0000251	Cg003G0962700	AL8G33230
OG0000251	Cg002G0664100	AL5G15010
OG0000252	Cg001G0086600	AL7G20350
OG0000252	Cg007G2272200	AL2G12370, AL2G12360
OG0000252	Cg007G2546100	AL2G37720
OG0000252	Cg007G2546300, Cg007G2546200	AL2G37740
OG0000253	Cg004G1184700	AL3G24230
OG0000253	Cg004G1154100	AL3G20620
OG0000253	Cg008G2596600	AL6G11740
OG0000254	Cg001G0250300, Cg001G0250200	AL7G39760
OG0000254	Cg001G0249500	AL7G39740
OG0000254	Cg001G0249400, Cg001G0249700	AL7G39730
OG0000256	Cg004G1236700	AL3G30180
OG0000257	Cg008G2969000	AL2G35830
OG0000258	Cg002G0627900	AL5G20640, AL6G41050
OG0000259	Cg004G1246900	AL3G41860, AL3G31320
OG0000262	Cg007G2293500	AL2G11060
OG0000268	Cg006G1966300, Cg006G1965600	AL5G24090
OG0000269	Cg003G0987700	AL8G36240
OG0000269	Cg002G0567300	AL5G25090, AL5G25020
OG0000269	Cg007G2309100	AL2G16910
OG0000269	Cg005G1638700	AL4G24200
OG0000275	Cg003G1065200	AL7G11970
OG0000275	Cg008G2833500	nbis-gene-421, AL2G17720, AL6G40420, AL6G40440, AL6G40430, AL2G17690
OG0000276	Cg005G1682300	AL8G19610
OG0000276	Cg002G0614200	AL8G16120
OG0000277	Cg001G0007500	AL3G49100, AL7G10820
OG0000277	Cg006G2066500	AL1G32640
OG0000278	Cg001G0332400	AL7G46030
OG0000278	Cg001G0336600	AL7G46410
