Orthogroup	Cochlearia_excelsa	Arabis_alpina
OG0000070	g10675	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	g50123	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	g46242	Aa_G410840.h1.t1
OG0000073	g4275, g38079, g25547	Aa_G108990.h1.t1
OG0000075	g1450	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000077	g18473	Aa_G636230.h1.t1, Aa_G362960.h1.t1, Aa_G122040.h1.t1
OG0000077	g1538, g1535	Aa_G683270.h1.t1
OG0000077	g44008, g44007, g44009	Aa_G161010.h1.t1
OG0000078	g4945	Aa_G253640.h1.t1, Aa_G253730.h1.t1, Aa_G339740.h1.t1, Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1, Aa_G339720.h1.t1, Aa_G339700.h1.t1, Aa_G759400.h1.t1, Aa_G438200.h1.t1, Aa_G339730.h1.t1, Aa_G253690.h1.t1
OG0000078	g4940, g4946	Aa_G85810.h1.t1
OG0000078	g29028, g29029	Aa_G253680.h1.t1
OG0000083	g2637, g49747	Aa_G482960.h1.t1
OG0000083	g10029, g51552, g41167, g16239, g27391, g24809, g10031, g50071, g1277, g22813, g23046, g2078, g43908, g41775, g32865, g39422, g31427, g53391, g4465, g28112, g2282, g41124, g37671, g46254, g31488, g46534, g47392, g23574, g1440, g18218, g29209, g189, g44333, g12699, g45077, g7891, g50678, g45076, g29210, g46332, g12698, g17314, g37985, g4867, g188, g44332, g2997, g11012, g10577, g10469, g41776, g400, g35186, g10139, g6497, g43868, g51292, g28232, g45392, g2408, g135, g7916, g23429, g51381, g13593, g1215, g24810, g53918	Aa_G871750.h1.t1
OG0000084	g6971	Aa_G572590.h1.t1
OG0000084	g16020, g26091, g11688, g32213	Aa_G204550.h1.t1
OG0000084	g25861	Aa_G896890.h1.t1
OG0000084	g34382, g53309	Aa_G263490.h1.t1
OG0000084	g53168	Aa_G680690.h1.t1
OG0000084	g3736	Aa_G370540.h1.t1
OG0000084	g32908	Aa_G460730.h1.t1
OG0000086	g14687	Aa_G108450.h1.t1
OG0000086	g22657, g15074, g46770, g46768, g46769, g43995	Aa_G703520.h1.t1
OG0000089	g9991	Aa_G630880.h1.t1
OG0000089	g5316	Aa_G256660.h1.t1
OG0000089	g11055, g40485	Aa_G103150.h1.t1
OG0000089	g24042	Aa_G580380.h1.t1
OG0000089	g46232	Aa_G656110.h1.t1
OG0000091	g46886	Aa_G363940.h1.t1
OG0000091	g28934, g28933	Aa_G15590.h1.t1
OG0000092	g49146, g15729	Aa_G542470.h1.t1
OG0000095	g51024	Aa_G54460.h1.t1, Aa_G54450.h1.t1, Aa_G54400.h1.t1, Aa_G559050.h1.t1, Aa_G271110.h1.t1, Aa_G155650.h1.t1
OG0000098	g41770	Aa_G539290.h1.t1
OG0000100	g35259, g34277	Aa_G65770.h1.t1
OG0000100	g40795	Aa_G65760.h1.t1
OG0000101	g30549, g95	Aa_G154360.h1.t1
OG0000101	g37850, g28202	Aa_G160180.h1.t1
OG0000102	g40477, g40479, g40476, g40480, g1561	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1, Aa_G25760.h1.t1
OG0000102	g45186	Aa_G42050.h1.t1
OG0000103	g22947, g53385, g35585, g53961, g25074, g41391, g174, g51854, g35452, g53324, g53804, g33380, g34405, g16452, g32834, g53191, g30244, g22182, g41865, g14562, g53428, g28957	Aa_G210380.h1.t1, Aa_G865350.h1.t1, Aa_G384960.h1.t1
OG0000105	g11211	Aa_G117390.h1.t1, Aa_G84880.h1.t1
OG0000105	g17560	Aa_G792870.h1.t1
OG0000105	g43820	Aa_G165210.h1.t1, Aa_G229780.h1.t1, Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G302450.h1.t1, Aa_G276580.h1.t1, Aa_G229770.h1.t1, Aa_G302440.h1.t1, Aa_G201150.h1.t1
OG0000105	g35258	Aa_G616120.h1.t1
OG0000106	g36881, g4591, g47125, g36375, g27012	Aa_G616180.h1.t1
OG0000107	g13363	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1
OG0000108	g37225, g38077, g2333, g51658	Aa_G367680.h1.t1, Aa_G576740.h1.t1
OG0000108	g29544	Aa_G152880.h1.t1
OG0000108	g11989	Aa_G67360.h1.t1
OG0000110	g44450, g32727, g24957	Aa_G578120.h1.t1
OG0000114	g15992	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000115	g16651, g17473, g31783	Aa_G264010.h1.t1
OG0000115	g24973	Aa_G1023650.h1.t1
OG0000115	g41206, g3584, g42122	Aa_G447930.h1.t1, Aa_G30380.h1.t1
OG0000115	g10185, g41109, g51760	Aa_G490590.h1.t1
OG0000116	g27853	Aa_G31310.h1.t1
OG0000116	g48680, g15046, g14763, g43457, g1389, g17894	Aa_G358570.h1.t1
OG0000116	g43452	Aa_G108470.h1.t1, Aa_G342720.h1.t1
OG0000116	g3660, g11702, g41656	Aa_G687410.h1.t1, Aa_G687410.h2.t1
OG0000116	g18609	Aa_G619400.h1.t1
OG0000117	g27550, g27549	Aa_G349950.h1.t1
OG0000119	g11441, g11440	Aa_G251660.h1.t1
OG0000120	g27841	Aa_G248300.h1.t1
OG0000122	g1065	Aa_G625760.h1.t1
OG0000122	g1066	Aa_G592750.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1, Aa_G379590.h1.t1, Aa_G379580.h1.t1
OG0000125	g31072	Aa_G257560.h1.t1
OG0000127	g41348	Aa_G552180.h1.t1
OG0000127	g41311	Aa_G318840.h1.t1, Aa_G318820.h1.t1
OG0000127	g2919, g1294, g28781	Aa_G33880.h1.t1
OG0000127	g39998	Aa_G69270.h1.t1
OG0000128	g2010	Aa_G271300.h1.t1
OG0000128	g2008	Aa_G319030.h1.t1
OG0000128	g2009	Aa_G784880.h1.t1, Aa_G271260.h1.t1
OG0000128	g50627	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000129	g45131	Aa_G323510.h1.t1
OG0000129	g9880	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000132	g51064, g35150, g34743	Aa_G462110.h1.t1
