Orthogroup	Cochlearia_excelsa	Conringia_planisiliqua
OG0000032	g25930, g51375	CP1_g40427_DN2_SP0_c.t1
OG0000032	g15953, g5354	CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1, CP5_g3358_DN2_SP0_c.t1
OG0000032	g4129, g3254, g35284	CP64_g21088_DN3_SP0_c.t1
OG0000034	g50699	CP8_g54564_DN3_SP0_c.t1, CP13_g20065_DN3_SP0_c.t1
OG0000035	g42055	CP4_g26190_DN3_SP0_c.t1
OG0000036	g8477, g30214, g48816, g30475, g34839, g34840, g33230, g21984, g16000, g35137, g9058, g4380, g30519, g8346, g33830, g38626, g4487, g49132, g54128, g24109, g4103, g22579, g8579, g30480, g20846, g33290, g33253, g25308, g32832, g53230, g35113, g20845, g32828, g3518, g10962, g23261, g30474, g34226, g22545, g42388, g53094, g53667, g43025, g15493, g26494, g52468, g30175, g4601, g21499, g20704, g36781, g3789, g43272, g52632, g30035, g14982, g35819, g43735, g25768, g37998, g8470, g48265, g16429, g21124, g19889, g21848, g43096, g14799, g15775, g33195, g52331, g8571, g15508, g51041, g8557, g40028, g36925, g16880, g22186, g21447, g39194, g16046, g20639, g33192, g44883, g26279, g42486, g22322, g15579, g20568, g9184, g53403, g30370, g48086, g30042, g36305, g16721, g34235, g34240, g30365, g21386, g48199, g4453, g38610, g42983, g32805, g23934, g44461, g42451, g48833, g42011, g3481, g14595, g40873, g4722, g19432, g26148, g35495, g26444, g48197, g43275, g52414, g35408, g30006, g3590, g52630, g24606, g8537, g15797, g15471, g33826, g5036, g9019, g52454, g49241, g34829, g21441, g3781, g48817, g8596, g3594, g9041, g22566, g22571, g48063, g39212, g41988, g48890, g42991, g43566, g20895, g20282, g15739, g25183, g53205, g49049, g26398, g53256, g53454, g44995, g47596, g32764, g52871, g9211, g13928, g35134, g34889, g53147, g21534, g30502, g42837, g42850, g42879, g54401, g54408, g8791, g8796, g52453, g3593, g52629, g32829, g15494, g38627, g33772, g41663, g43194, g22574, g39945, g35836, g2951, g37862, g53162, g8562, g3621, g21982, g3535, g8184, g34249, g52841, g52848, g52830, g34220, g15932, g3610, g28586, g16657, g4890, g43728, g33601, g25944, g45198, g15609, g35888, g32794, g42492, g16586, g20697, g52658, g19972, g612, g15222, g3806, g3520, g556, g34922, g3531, g27040, g9162, g15745, g21617, g8325, g3516, g20638, g14983, g12232, g48263, g3592, g52628, g32830, g26399, g49242, g15472, g15738, g52327, g52413, g26495, g23262, g5035, g15613, g13929, g52872, g38592, g14944, g21981, g24110, g3517, g12231, g53212, g8538, g53668, g20928, g9042, g50317, g53093, g15610, g41989, g54129, g35835, g9210, g24605, g18471, g33294, g20894, g30377, g47597, g34830, g30174, g22565, g35939, g14834, g20844, g16430, g22578, g8597, g17427, g52829, g20553, g35138, g35135, g43276, g3589, g25945, g8347, g15842, g33387, g42569, g33158, g33161, g48659, g35581, g33616, g15846, g3497, g22573, g22570, g53862, g42491, g32843, g43273, g52466, g52473, g19971, g32806, g20847, g3534	CP23_g21756_DN1_SP0_c.t1, CP23_g21716_DN1_SP0_c.t1
OG0000038	g45065	CP14_g22980_DN1_SP0_c.t1
OG0000038	g646, g17068, g32641, g23586	CP29_g22118_DN1_SP0_c.t1
OG0000038	g2497	CP6_g8155_DN1_SP0_c.t1
OG0000038	g27140, g23925, g51223, g44428, g9976, g51224, g38104	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1
OG0000038	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625, g41377, g32262, g25866	CP15_g35533_DN1_SP0_c.t1
OG0000038	g17792, g36174, g23490, g16728, g27674, g23073, g13751, g22731, g33053, g2447, g33047, g45986, g32349, g28998, g22798, g37935, g41306	CP29_g22117_DN1_SP0_c.t1
OG0000039	g9223, g15181, g22026, g34002, g33956, g21740, g33876, g20120, g34152, g33727, g33838, g34031, g38975, g39098, g38955, g38688, g33899, g33968, g21746, g49214, g9168, g8928, g33853, g21580, g21835, g33794, g34108, g48467, g9412, g21180, g20963, g29864, g34128, g42509, g20355, g20323, g33964, g8497, g34589, g9477, g21185, g20350, g34603, g48204, g15023, g26485, g26483, g26490, g42473, g21581, g42500, g33728, g21834, g21908, g30648, g9167, g30662, g34030, g33969, g33880, g33754, g20336, g42479, g16186, g20806, g20799, g20600, g33875, g33942, g9567, g9467, g20562, g30106, g20969, g48132, g8937, g14739, g15252, g15616, g38605, g48353, g38935, g20566, g34601, g9410, g9534, g15154, g8442, g26561, g33734, g30591, g9307, g48220, g16204, g15893, g15843, g15896, g16200, g21102, g9330, g9097, g48186, g48133, g8399, g42629, g26556, g39032, g35389, g34862, g8902, g20398, g15147, g49183, g20264, g15163, g20939, g15263, g21171, g20808, g30058, g19679, g3538, g30024, g34069, g15290, g33828, g33832, g48859, g33774, g26506, g34577, g38840, g15451, g8891, g35369, g30672, g20400, g20339, g8985, g8963, g9150, g33805, g8966, g21244, g20504, g33808, g15372, g33840, g8969, g49250, g21044, g9535, g21091, g42907, g30644, g34888, g35388, g48113, g34154, g9222, g21215, g9264, g52758, g49246, g8843, g9556, g20444, g34039, g34131, g21540, g15466, g38559, g9194, g34045, g8458, g21870, g34113, g8981, g20527, g34004, g21752, g9254, g21611, g39030, g34126, g9248, g22003, g33850, g22025, g30631, g22027, g34181, g21699, g33966, g21680, g33992, g9199, g9408, g21877, g20657, g30626, g8288, g15136, g34194, g20574, g8449, g48415, g8953, g38980, g39170, g39173, g48500, g33991, g21539, g34037, g33722, g43382, g8379, g26569, g20644, g42305, g15284, g48417	CP24_g47137_DN2_SP0_c.t1
OG0000040	g49152	CP19_g18411_DN2_SP0_c.t1, CP4_g26084_DN1_SP0_c.t1
OG0000040	g52948, g41631, g41632, g25133, g49021	CP335_g34390_DN1_SP0_c.t1, CP11_g31841_DN1_SP0_c.t1
OG0000041	g49411, g40677, g12224	CP1_g39386_DN1_SP0_c.t1
OG0000041	g6205	CP2_g50310_DN2_SP0_c.t1
OG0000041	g19447	CP6_g9686_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP15_g34935_DN3_SP0_c.t1
OG0000041	g46641	CP14_g23198_DN3_SP0_c.t1, CP14_g22621_DN3_SP0_c.t1, CP3_g15154_DN3_SP0_c.t1
OG0000041	g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877	CP14_g23587_DN3_SP0_c.t1
OG0000041	g11828	CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1
OG0000041	g4882, g54105, g19084	CP14_g22619_DN2_SP0_c.t1
OG0000041	g12227	CP34_g51569_DN2_SP0_c.t1
OG0000042	g8825, g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1
OG0000042	g31187, g8527, g6175	CP37_g11369_DN1_SP0_c.t1
OG0000042	g31170	CP6_g9833_DN1_SP0_c.t1
OG0000042	g50559, g3768	CP15_g34874_DN3_SP0_c.t1
OG0000042	g6307, g53556	CP6_g9916_DN1_SP0_c.t1
OG0000042	g40104, g13786, g31186, g8826, g30544	CP8_g52519_DN1_SP0_c.t1
OG0000043	g32581, g25935, g6093	CP15_g35837_DN2_SP0_c.t1
OG0000043	g7022, g9694, g49667	CP15_g35835_DN2_SP0_c.t1
OG0000043	g35546	CP15_g35836_DN2_SP0_c.t1
OG0000043	g13371	CP1_g41085_DN2_SP0_c.t1
OG0000043	g13019, g18797	CP1_g41084_DN2_SP0_c.t1
OG0000043	g41214, g17678	CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1
OG0000046	g3382, g2931	CP15_g34716_DN3_SP0_c.t1
OG0000046	g26196, g11589	CP8_g52809_DN3_SP0_c.t1
OG0000048	g29294, g52069, g52073, g52064	CP9_g29505_DN2_SP0_c.t1
OG0000049	g7125, g42059, g19431, g24864, g39276, g51171, g7126, g6551, g27201	CP3_g15633_DN2_SP0_c.t1
OG0000049	g19076, g35468, g5625	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1
OG0000049	g10538	CP13_g20574_DN2_SP0_c.t1
OG0000049	g7127	CP1_g38898_DN1_SP0_c.t1
OG0000050	g32289	CP9_g27575_DN2_SP0_c.t1, CP1_g38613_DN1_SP0_c.t1
OG0000050	g19665	CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1
OG0000050	g51073	CP1_g41329_DN2_SP0_c.t1
OG0000050	g44252	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1, CP15_g34543_DN2_SP0_c.t1, CP1_g39907_DN2_SP0_c.t1
OG0000050	g30921, g53630, g4397, g10583, g5874	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1
OG0000051	g53934	CP9_g28198_DN3_SP0_c.t1
OG0000051	g37450	CP4_g24479_DN3_SP0_c.t1
OG0000052	g1602, g3195, g10535	CP13_g19766_DN3_SP0_c.t1
OG0000052	g19225	CP3_g14092_DN3_SP0_c.t1
OG0000052	g36515	CP7_g44259_DN3_SP0_c.t1
OG0000054	g34524, g34533, g30257	CP29_g22024_DN2_SP0_c.t1
OG0000055	g27361	CP12_g30730_DN2_SP0_c.t1
OG0000055	g50182, g50184, g50186	CP10_g42516_DN3_SP0_c.t1
OG0000056	g40991, g44205	CP2_g49077_DN3_SP0_c.t1
