Orthogroup	Cochlearia_excelsa	Euclidium_syriacum
OG0000030	g44631	ESY3_g30317_DN3_SP0_c0.t1, ESY3_g30319_DN3_SP0_c0.t1, ESY2_g38589_DN3_SP0_c0.t1, ESY7_g17512_DN3_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g30190_DN1_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1, ESY3_g30320_DN1_SP0_c0.t1, ESY3_g30284_DN2_SP0_c0.t1
OG0000031	g39351, g7244, g17718, g41293	ESY23_g31_DN2_SP0_c0.t1
OG0000032	g8719	ESY11_g52738_DN2_SP0_c0.t1
OG0000032	g35299	ESY15_g65701_DN1_SP0_c88.t1
OG0000032	g5355, g32774, g16031, g31992, g27854, g8229, g4385, g15955, g34339, g35327, g35065, g32781	ESY3_g28065_DN2_SP0_c0.t1
OG0000032	g43754	ESY5_g4084_DN3_SP0_c0.t1
OG0000032	g15954	ESY22_g40386_DN3_SP0_c42.t1
OG0000036	g8477, g30214, g48816, g30475, g34839, g34840, g33230, g21984, g16000, g35137, g9058, g4380, g30519, g8346, g33830, g38626, g4487, g49132, g54128, g24109, g4103, g22579, g8579, g30480, g20846, g33290, g33253, g25308, g32832, g53230, g35113, g20845, g32828, g3518, g10962, g23261, g30474, g34226, g22545, g42388, g53094, g53667, g43025, g15493, g26494, g52468, g30175, g4601, g21499, g20704, g36781, g3789, g43272, g52632, g30035, g14982, g35819, g43735, g25768, g37998, g8470, g48265, g16429, g21124, g19889, g21848, g43096, g14799, g15775, g33195, g52331, g8571, g15508, g51041, g8557, g40028, g36925, g16880, g22186, g21447, g39194, g16046, g20639, g33192, g44883, g26279, g42486, g22322, g15579, g20568, g9184, g53403, g30370, g48086, g30042, g36305, g16721, g34235, g34240, g30365, g21386, g48199, g4453, g38610, g42983, g32805, g23934, g44461, g42451, g48833, g42011, g3481, g14595, g40873, g4722, g19432, g26148, g35495, g26444, g48197, g43275, g52414, g35408, g30006, g3590, g52630, g24606, g8537, g15797, g15471, g33826, g5036, g9019, g52454, g49241, g34829, g21441, g3781, g48817, g8596, g3594, g9041, g22566, g22571, g48063, g39212, g41988, g48890, g42991, g43566, g20895, g20282, g15739, g25183, g53205, g49049, g26398, g53256, g53454, g44995, g47596, g32764, g52871, g9211, g13928, g35134, g34889, g53147, g21534, g30502, g42837, g42850, g42879, g54401, g54408, g8791, g8796, g52453, g3593, g52629, g32829, g15494, g38627, g33772, g41663, g43194, g22574, g39945, g35836, g2951, g37862, g53162, g8562, g3621, g21982, g3535, g8184, g34249, g52841, g52848, g52830, g34220, g15932, g3610, g28586, g16657, g4890, g43728, g33601, g25944, g45198, g15609, g35888, g32794, g42492, g16586, g20697, g52658, g19972, g612, g15222, g3806, g3520, g556, g34922, g3531, g27040, g9162, g15745, g21617, g8325, g3516, g20638, g14983, g12232, g48263, g3592, g52628, g32830, g26399, g49242, g15472, g15738, g52327, g52413, g26495, g23262, g5035, g15613, g13929, g52872, g38592, g14944, g21981, g24110, g3517, g12231, g53212, g8538, g53668, g20928, g9042, g50317, g53093, g15610, g41989, g54129, g35835, g9210, g24605, g18471, g33294, g20894, g30377, g47597, g34830, g30174, g22565, g35939, g14834, g20844, g16430, g22578, g8597, g17427, g52829, g20553, g35138, g35135, g43276, g3589, g25945, g8347, g15842, g33387, g42569, g33158, g33161, g48659, g35581, g33616, g15846, g3497, g22573, g22570, g53862, g42491, g32843, g43273, g52466, g52473, g19971, g32806, g20847, g3534	ESY7_g17009_DN2_SP0_c60.t1
OG0000038	g27140, g23925, g51223, g44428, g9976, g51224, g38104	ESY21_g55792_DN2_SP0_c0.t1
OG0000040	g49152	ESY2_g38709_DN3_SP0_c0.t1, ESY9_g43776_DN1_SP0_c0.t1, ESY8_g60365_DN2_SP0_c0.t1, ESY5_g2557_DN3_SP0_c0.t1
OG0000040	g12385	ESY7_g16531_DN2_SP0_c0.t1
OG0000040	g26735	ESY4_g25086_DN1_SP0_c0.t1
OG0000041	g49411, g40677, g12224	ESY6_g46303_DN3_SP0_c0.t1
OG0000041	g147, g45167, g24813	ESY14_g19727_DN2_SP0_c0.t1
OG0000041	g28504, g28412, g26640, g45389, g13756, g29232, g14427, g4881, g19458, g46776	ESY6_g47885_DN2_SP0_c0.t1
OG0000041	g46641	ESY8_g61336_DN1_SP0_c0.t1
