Orthogroup	Rorippa_islandica	Arabis_alpina
OG0000048	Roisl.0006s0337.1.p	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1
OG0000048	Roisl.0017s0510.1.p	Aa_G584300.h1.t1
OG0000048	Roisl.0074s0908.1.p	Aa_G312310.h1.t1
OG0000050	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1
OG0000050	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1
OG0000051	Roisl.0210s2097.1.p	Aa_G592860.h1.t1
OG0000051	Roisl.0082s0147.1.p	Aa_G678670.h1.t1
OG0000051	Roisl.0028s0722.1.p	Aa_G599340.h1.t1
OG0000055	Roisl.0053s0284.1.p	Aa_G659190.h1.t1
OG0000056	Roisl.0209s0766.1.p	Aa_G534290.h1.t1
OG0000056	Roisl.0209s0767.1.p	Aa_G615080.h1.t1
OG0000056	Roisl.0209s0597.1.p	Aa_G47070.h1.t1, Aa_G534300.h1.t1, Aa_G488300.h1.t1
OG0000056	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p, Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	Roisl.0209s0402.1.p	Aa_G162440.h1.t1
OG0000060	Roisl.0080s0272.1.p	Aa_G257700.h7.t1
OG0000060	Roisl.0209s0337.1.p	Aa_G448310.h7.t1
OG0000060	Roisl.0080s0305.1.p	Aa_G318860.h3.t1
OG0000060	Roisl.0091s1062.1.p	Aa_G375890.h7.t1
OG0000060	Roisl.0046s1351.1.p	Aa_G197130.h3.t1
OG0000060	Roisl.0209s0295.1.p	Aa_G550780.h6.t1
OG0000060	Roisl.0082s0647.1.p	Aa_G318860.h7.t1
OG0000061	Roisl.0045s0092.1.p	Aa_G496010.h1.t1, Aa_G380720.h1.t1
OG0000061	Roisl.0002s0176.1.p	Aa_G235680.h1.t1
OG0000065	Roisl.0024s0085.1.p, Roisl.0024s0064.1.p, Roisl.0024s0067.1.p, Roisl.0024s0060.1.p, Roisl.0024s0071.1.p, Roisl.0024s0082.1.p, Roisl.0024s0079.1.p, Roisl.0214s0743.1.p, Roisl.0024s0073.1.p, Roisl.0024s0063.1.p, Roisl.0024s0076.1.p	Aa_G756440.h1.t1, Aa_G190950.h1.t1
