Orthogroup	Euclidium_syriacum	Aethionema_saxatile
OG0000147	ESY8_g60510_DN3_SP0_c0.t1, ESY19_g42179_DN3_SP8_c0.t1	As010G227330
OG0000147	ESY17_g39881_DN3_SP8_c0.t1	As011G259420
OG0000149	ESY2_g37243_DN3_SP0_c7.t1	As010G224590
OG0000149	ESY6_g48779_DN3_SP0_c27.t1, ESY6_g48804_DN1_SP0_c0.t1, ESY6_g48760_DN3_SP0_c14.t1, ESY6_g48773_DN3_SP0_c16.t1, ESY6_g48790_DN3_SP0_c15.t1, ESY6_g48798_DN3_SP0_c9.t1, ESY1_g12339_DN3_SP0_c5.t1, ESY8_g58840_DN3_SP0_c0.t1	As010G224610
OG0000150	ESY6_g48890_DN2_SP0_c0.t1	As010G225230
OG0000151	ESY4_g23864_DN3_SP6_c0.t1	As007G166070
OG0000151	ESY3_g30785_DN3_SP8_c0.t1	As006G141980
OG0000151	ESY3_g30787_DN3_SP0_c0.t1	As006G133740
OG0000151	ESY11_g53876_DN3_SP8_c0.t1	As011G263600
OG0000151	ESY6_g48165_DN3_SP8_c0.t1	As002G047900
OG0000151	ESY2_g33324_DN3_SP8_c0.t1, ESY8_g60049_DN3_SP6_c0.t1	As001G030700
OG0000155	ESY16_g62270_DN3_SP0_c0.t1	As003G059350
OG0000155	ESY9_g43517_DN2_SP0_c81.t1	As003G059230, As003G059200
OG0000156	ESY7_g16345_DN2_SP0_c0.t1	As005G101540, As012G287040, As012G287050, As005G101590, As008G189910, As005G101570, As005G101560, As005G101580, As001G028010
OG0000161	ESY6_g49428_DN3_SP0_c0.t1, ESY7_g19438_DN2_SP0_c0.t1, ESY7_g19441_DN3_SP0_c0.t1, ESY2_g34369_DN3_SP0_c0.t1	As001G013550, As001G029600, As001G029610
OG0000162	ESY1_g12170_DN3_SP0_c0.t1, ESY1_g12160_DN3_SP0_c0.t1, ESY1_g12161_DN3_SP0_c0.t1, ESY1_g12165_DN3_SP0_c0.t1, ESY1_g12162_DN3_SP0_c0.t1, ESY1_g12166_DN3_SP0_c0.t1	As012G286460
OG0000162	ESY1_g12088_DN2_SP0_c6.t1, ESY1_g12083_DN3_SP0_c23.t1, ESY1_g12081_DN2_SP0_c0.t1, ESY1_g12076_DN1_SP0_c0.t1	As012G286440
OG0000162	ESY1_g12080_DN3_SP0_c20.t1	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570
OG0000165	ESY11_g53905_DN3_SP0_c0.t1	As011G245360
OG0000165	ESY2_g37015_DN1_SP0_c0.t1	As001G011340, As001G010810, As001G010990, As012G282150
OG0000166	ESY4_g26280_DN2_SP0_c0.t1	As011G260470, As002G040840
OG0000166	ESY2_g38440_DN2_SP0_c0.t1	As010G228020
OG0000166	ESY9_g45514_DN1_SP0_c0.t1, ESY15_g64431_DN2_SP0_c0.t1	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490, As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080
OG0000167	ESY9_g43020_DN3_SP0_c14.t1	As003G057890
OG0000168	ESY6_g48209_DN3_SP0_c0.t1	As008G194570, As010G230090
OG0000175	ESY5_g3986_DN3_SP8_c0.t1	As007G156270
OG0000175	ESY4_g25500_DN3_SP8_c0.t1	As011G263590
OG0000178	ESY4_g23863_DN2_SP0_c100.t1	As001G013240
OG0000187	ESY4_g24964_DN3_SP0_c0.t1	As001G003940
OG0000191	ESY7_g17124_DN1_SP0_c0.t1	As007G152760
OG0000192	ESY8_g59786_DN2_SP0_c0.t1	As007G157190
OG0000195	ESY6_g49123_DN3_SP5_c0.t1	As005G112850
OG0000195	ESY2_g35240_DN3_SP8_c46.t1	As001G028840
OG0000195	ESY8_g59101_DN3_SP5_c0.t1	As002G033300
OG0000200	ESY11_g52422_DN2_SP0_c0.t1, ESY5_g4830_DN3_SP0_c0.t1, ESY5_g4829_DN3_SP0_c0.t1, ESY5_g2141_DN2_SP0_c0.t1, ESY5_g4744_DN3_SP0_c0.t1, ESY5_g2142_DN2_SP0_c0.t1, ESY5_g4743_DN3_SP0_c0.t1, ESY3_g30089_DN2_SP0_c0.t1, ESY11_g54658_DN3_SP0_c0.t1, ESY12_g51573_DN3_SP0_c0.t1, ESY8_g58357_DN2_SP0_c44.t1	As008G194290
OG0000203	ESY3_g31967_DN2_SP0_c0.t1, ESY3_g31964_DN2_SP0_c0.t1	As006G136770
OG0000204	ESY10_g14368_DN2_SP0_c0.t1	As011G253820
OG0000204	ESY3_g28814_DN3_SP0_c0.t1	As011G254650
OG0000207	ESY2_g36146_DN3_SP0_c12.t1, ESY2_g36116_DN3_SP0_c10.t1, ESY10_g15866_DN3_SP0_c0.t1, ESY7_g18882_DN2_SP0_c0.t1, ESY2_g35546_DN3_SP0_c9.t1, ESY5_g3707_DN3_SP0_c12.t1, ESY5_g3706_DN3_SP0_c14.t1, ESY1_g11118_DN3_SP0_c46.t1, ESY1_g10980_DN2_SP0_c12.t1, ESY4_g25084_DN3_SP0_c12.t1, ESY7_g17384_DN2_SP0_c0.t1	As003G061070
OG0000208	ESY4_g26756_DN3_SP0_c0.t1	As003G075230
OG0000208	ESY4_g26760_DN2_SP0_c0.t1, ESY4_g26757_DN3_SP0_c0.t1	As003G075200, As003G075180, As003G075210, As003G060140
OG0000208	ESY4_g26753_DN3_SP0_c0.t1, ESY4_g26754_DN3_SP0_c0.t1, ESY1_g8953_DN3_SP0_c0.t1	As003G075160
OG0000215	ESY6_g47580_DN2_SP0_c0.t1	As011G258310
OG0000217	ESY2_g34089_DN3_SP0_c0.t1, ESY2_g34090_DN2_SP0_c0.t1	As001G019850
OG0000217	ESY2_g34048_DN3_SP0_c0.t1	As001G018860
OG0000218	ESY7_g18208_DN3_SP0_c0.t1, ESY7_g18205_DN3_SP0_c0.t1, ESY5_g5309_DN3_SP0_c0.t1, ESY10_g14610_DN3_SP8_c0.t1	As001G022650
OG0000219	ESY2_g35211_DN1_SP0_c0.t1, ESY2_g35210_DN1_SP0_c0.t1	As001G028510, As001G028520
OG0000219	ESY3_g31957_DN3_SP0_c0.t1	As001G028500, As001G028480
OG0000219	ESY6_g49711_DN1_SP0_c0.t1	As003G064990
OG0000220	ESY3_g32370_DN2_SP0_c0.t1, ESY3_g32365_DN1_SP0_c79.t1	As010G221990, As010G221980, As010G221950, As010G221930, As010G222000, As010G222030, As010G222010, As010G222040
OG0000221	ESY4_g25962_DN1_SP0_c27.t1, ESY15_g65094_DN1_SP0_c0.t1, ESY3_g29249_DN1_SP0_c0.t1	As002G040520
OG0000224	ESY2_g34607_DN3_SP0_c0.t1, ESY2_g34606_DN3_SP0_c0.t1	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	ESY4_g24972_DN3_SP0_c33.t1, ESY4_g24982_DN3_SP0_c27.t1, ESY2_g33558_DN3_SP0_c0.t1, ESY2_g33557_DN3_SP0_c0.t1	As001G031540
OG0000225	ESY3_g29916_DN2_SP0_c0.t1, ESY3_g29914_DN2_SP0_c0.t1	As003G069680, As003G070050, As003G070030
OG0000228	ESY11_g54171_DN1_SP0_c9.t1, ESY2_g38077_DN3_SP0_c0.t1	As007G159250
OG0000228	ESY10_g14421_DN3_SP0_c31.t1, ESY2_g35612_DN2_SP0_c0.t1, ESY2_g35613_DN1_SP0_c0.t1, ESY2_g35611_DN2_SP0_c39.t1	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	ESY14_g21093_DN2_SP0_c0.t1, ESY8_g60999_DN3_SP0_c0.t1, ESY3_g29895_DN3_SP0_c0.t1, ESY8_g61000_DN3_SP0_c0.t1	As004G077900
OG0000231	ESY10_g14245_DN3_SP0_c0.t1	As001G028220
OG0000234	ESY1_g10786_DN3_SP0_c0.t1, ESY1_g10749_DN1_SP0_c6.t1	As012G281470, As012G281460, As006G143800, As009G210340
OG0000242	ESY33_g12623_DN3_SP0_c0.t1, ESY4_g25388_DN3_SP0_c0.t1, ESY5_g2745_DN3_SP0_c0.t1, ESY5_g2746_DN3_SP0_c0.t1, ESY5_g2748_DN3_SP0_c0.t1, ESY5_g2744_DN3_SP0_c0.t1	As008G183340, As008G183330
OG0000244	ESY9_g43553_DN3_SP0_c0.t1	As003G059930
OG0000244	ESY7_g16354_DN3_SP5_c0.t1	As004G085820
OG0000244	ESY7_g16356_DN3_SP0_c0.t1	As004G085870
OG0000244	ESY9_g43563_DN3_SP0_c0.t1, ESY9_g43568_DN3_SP0_c0.t1	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000244	ESY7_g16355_DN3_SP3_c0.t1	As004G085860, As004G085850
OG0000246	ESY7_g16249_DN2_SP0_c100.t1	As011G246640, As012G280010
OG0000248	ESY5_g2595_DN2_SP0_c6.t1	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	ESY10_g15197_DN1_SP0_c67.t1	As012G276740, As006G145310, As006G145330, As008G193990, As006G145350, As006G145320
OG0000253	ESY4_g22351_DN2_SP0_c0.t1	As003G066460
OG0000256	ESY12_g50901_DN1_SP0_c88.t1	As006G142420
OG0000257	ESY3_g32555_DN1_SP0_c0.t1, ESY3_g32550_DN1_SP0_c0.t1	As002G035710, As012G268510
OG0000258	ESY11_g54020_DN2_SP0_c65.t1	As002G048970, As001G025260
OG0000259	ESY13_g56166_DN2_SP0_c0.t1	As011G261730
OG0000264	ESY7_g16510_DN3_SP0_c56.t1, ESY7_g16503_DN3_SP0_c20.t1	As004G086270, As010G229170
OG0000270	ESY11_g53846_DN3_SP8_c0.t1	As003G075960
OG0000270	ESY4_g25561_DN3_SP8_c0.t1	As001G014420
OG0000270	ESY2_g36074_DN3_SP8_c0.t1	As007G156110
OG0000271	ESY20_g12697_DN2_SP0_c0.t1	As004G086280
OG0000272	ESY7_g17164_DN1_SP0_c0.t1	As003G064910, As006G146450, As006G146460
OG0000273	ESY1_g10436_DN3_SP0_c58.t1	As007G156970, As012G273500, As012G273510, As012G273490, As005G107410, As004G078260, As012G273480
OG0000276	ESY2_g37679_DN3_SP0_c17.t1	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920
OG0000276	ESY9_g43261_DN3_SP0_c17.t1	As011G256110
OG0000277	ESY2_g38710_DN3_SP0_c0.t1, ESY2_g38730_DN1_SP0_c0.t1, ESY2_g38708_DN3_SP0_c0.t1, ESY2_g38699_DN3_SP0_c0.t1	As004G096720
OG0000280	ESY1_g6464_DN1_SP0_c52.t1	As004G093300, As002G035770
OG0000282	ESY7_g18557_DN2_SP0_c0.t1	As002G055220
OG0000283	ESY20_g12865_DN2_SP3_c0.t1	As006G125110
OG0000283	ESY20_g12864_DN3_SP1_c0.t1, ESY20_g12860_DN3_SP1_c0.t1, ESY20_g12861_DN3_SP3_c0.t1, ESY20_g12863_DN3_SP7_c0.t1, ESY20_g12859_DN3_SP1_c0.t1	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	ESY10_g15359_DN3_SP0_c0.t1, ESY15_g64561_DN3_SP0_c0.t1	As006G139300
OG0000284	ESY2_g37535_DN2_SP0_c0.t1, ESY2_g37380_DN2_SP0_c0.t1, ESY16_g62159_DN3_SP0_c31.t1, ESY1_g10190_DN2_SP0_c0.t1, ESY19_g41982_DN3_SP0_c33.t1, ESY19_g41981_DN2_SP0_c45.t1	As006G139290
OG0000293	ESY10_g13999_DN2_SP0_c0.t1	As008G189890
OG0000293	ESY4_g22426_DN2_SP0_c0.t1	As008G188650, As004G094780, As002G042500, As003G064050
