Orthogroup	Aethionema_saxatile	Cardamine_hirsuta
OG0000220	As010G221990, As010G221980, As010G221950, As010G221930, As010G222000, As010G222030, As010G222010, As010G222040	CARHR158340
OG0000220	As010G225590, As010G227890	CARHR050490
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	CARHR071060, CARHR071050, CARHR071040
OG0000224	As001G031540	CARHR230420, CARHR048360, CARHR048350, CARHR048370
OG0000225	As003G069680, As003G070050	CARHR028850, CARHR028820, CARHR028900, CARHR028880, CARHR028810, CARHR028800, CARHR028770, CARHR028830, CARHR028760
OG0000228	As007G159250	CARHR185670
OG0000228	As010G233780, As010G233750	CARHR292540
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	CARHR064090, CARHR064100, CARHR064130, CARHR064110
OG0000231	As004G077900	CARHR056350, CARHR213950, CARHR041780, CARHR214130, CARHR214120, CARHR262590
OG0000231	As001G028220	CARHR056340, CARHR220460, CARHR059750
OG0000232	As002G036540, As006G139020	CARHR080100, CARHR085660, CARHR105520, CARHR105540, CARHR105470, CARHR039350, CARHR105510, CARHR105480
OG0000234	As012G281460	CARHR165120
OG0000234	As006G143800	CARHR165110, CARHR134140
OG0000234	As009G210340	CARHR199860
OG0000242	As008G183340, As008G183330	CARHR105760, CARHR105770, CARHR105730, CARHR014460, CARHR066550, CARHR066560, CARHR014480, CARHR036430, CARHR014490
OG0000244	As003G059930	CARHR228610
OG0000244	As004G085820	CARHR252730
OG0000244	As004G085860, As004G085850	CARHR107520
OG0000248	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420	CARHR054340
OG0000249	As006G145310	CARHR131110
OG0000249	As006G145330, As008G193990, As006G145350, As006G145320	CARHR131180, CARHR131170
OG0000258	As002G048970	CARHR271060
OG0000264	As004G086270, As010G229170	CARHR251320
OG0000268	As001G023230	CARHR144670
OG0000268	As001G023220, As001G023200	CARHR049930
OG0000268	As005G106920	CARHR211500
OG0000268	As012G278370	CARHR164050
OG0000270	As003G075960	CARHR243020, CARHR106740
OG0000270	As001G014420	CARHR247840
OG0000272	As003G064910	CARHR186370
OG0000273	As007G156970	CARHR021360, CARHR021380
OG0000274	As005G114920	CARHR273300
OG0000274	As006G128840, As006G128830	CARHR122830
OG0000276	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920	CARHR218850
OG0000277	As004G096710	CARHR290100, CARHR290090
OG0000277	As004G096720	CARHR290080
OG0000282	As002G055220	CARHR205610
OG0000283	As006G125110	CARHR180240
OG0000283	As006G125160, As006G125170, As006G125120, As006G125130	CARHR180250, CARHR180280
OG0000284	As006G139290	CARHR183240, CARHR119540, CARHR119080, CARHR102130, CARHR101660, CARHR102230, CARHR102520, CARHR264270, CARHR180810
OG0000290	As009G210470, As005G114050	CARHR262050
OG0000294	As011G249490	CARHR092710
OG0000294	As006G145420	CARHR131330
OG0000294	As005G099900	CARHR142440
OG0000294	As006G122700	CARHR249810
OG0000294	As008G198060	CARHR001810
OG0000295	As011G246810	CARHR057270
OG0000297	As008G198730	CARHR118860, CARHR244920, CARHR244890, CARHR121660, CARHR121670, CARHR121680, CARHR121720
OG0000297	As005G114280	CARHR274100, CARHR095150
OG0000299	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800	CARHR119900, CARHR071990
OG0000299	As010G241860, As009G207860	CARHR152230
OG0000299	As012G267900	CARHR045650
OG0000303	As003G069740	CARHR286360
OG0000308	As010G240850, As010G240840, As010G240940, As010G240920	CARHR018220, CARHR065850, CARHR065800, CARHR065780, CARHR262010, CARHR018200, CARHR065820
OG0000310	As005G115910, As001G004860, As001G003850, As005G113880	CARHR157270
OG0000311	As009G202530	CARHR196640
OG0000311	As012G273730	CARHR038100
OG0000311	As011G249880	CARHR093170
OG0000311	As004G077290	CARHR215260
OG0000311	As001G029000	CARHR292180
OG0000313	As003G058420	CARHR227020, CARHR227030, CARHR227040, CARHR227060
OG0000314	As008G195840	CARHR004130
OG0000314	As006G125760	CARHR004140
OG0000314	As006G125440	CARHR126540
OG0000319	As006G129730, As005G114310, As008G191530	CARHR204750, CARHR007730
