Orthogroup	Aethionema_saxatile	Conringia_planisiliqua
OG0000087	As006G128780	CP4_g25793_DN3_SP8_c.t1
OG0000087	As002G051000	CP11_g32707_DN3_SP8_c.t1
OG0000087	As012G274980	CP4_g25265_DN3_SP6_c.t1
OG0000087	As004G086530	CP13_g20168_DN3_SP8_c.t1
OG0000087	As003G058850	CP6_g6768_DN3_SP8_c.t1
OG0000087	As010G237710	CP9_g29223_DN3_SP8_c.t1
OG0000090	As012G273080	CP17_g5790_DN3_SP0_c.t1
OG0000093	As012G284680, As012G284700, As012G284660	CP3_g13515_DN3_SP0_c.t1, CP3_g13516_DN3_SP0_c.t1, CP3_g14024_DN3_SP0_c.t1
OG0000096	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360	CP13_g20085_DN3_SP0_c.t1
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	CP1_g37532_DN1_SP0_c.t1, CP1_g37531_DN2_SP0_c.t1, CP1_g37530_DN3_SP0_c.t1, CP13_g20427_DN3_SP0_c.t1
OG0000102	As010G228120	CP33_g3650_DN2_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP15_g36115_DN1_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1, CP6_g9672_DN2_SP0_c.t1
OG0000102	As002G042100	CP28_g33922_DN2_SP0_c.t1, CP4_g26223_DN2_SP0_c.t1, CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1, CP1_g39921_DN2_SP0_c.t1, CP14_g23881_DN1_SP0_c.t1, CP15_g34932_DN2_SP0_c.t1, CP3_g16302_DN1_SP0_c.t1, CP12_g31118_DN1_SP0_c.t1, CP13_g20642_DN2_SP0_c.t1
OG0000104	As006G129190	CP4_g25844_DN3_SP0_c.t1
OG0000107	As011G252340	CP15_g34930_DN1_SP0_c.t1
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	CP2_g48438_DN1_SP0_c.t1, CP17_g5784_DN1_SP0_c.t1
OG0000114	As006G137050, As006G137080	CP12_g31634_DN1_SP0_c.t1, CP12_g31654_DN3_SP0_c.t1
OG0000116	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410	CP6_g9453_DN3_SP0_c.t1, CP15_g35512_DN3_SP0_c.t1, CP28_g33977_DN3_SP0_c.t1
OG0000118	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770	CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1
OG0000122	As002G036520	CP8_g53628_DN3_SP0_c.t1
OG0000123	As008G183750	CP19_g18011_DN3_SP0_c.t1
OG0000123	As008G183720	CP2_g49912_DN3_SP0_c.t1, CP1_g37670_DN3_SP0_c.t1, CP10_g44063_DN3_SP0_c.t1, CP1_g37644_DN3_SP0_c.t1, CP5_g1625_DN3_SP0_c.t1
OG0000125	As006G146230	CP3_g13990_DN2_SP0_c.t1
OG0000125	As012G277440	CP4_g24986_DN3_SP0_c.t1
OG0000125	As005G107620	CP11_g33621_DN2_SP0_c.t1, CP10_g42910_DN3_SP0_c.t1
OG0000125	As005G113770	CP8_g54114_DN3_SP0_c.t1
OG0000125	As005G114700, As010G224880	CP8_g54018_DN3_SP0_c.t1
OG0000125	As006G129500	CP4_g25869_DN3_SP0_c.t1
