Orthogroup	Aethionema_saxatile	Cardamine_glauca
OG0000422	As008G188280, As008G188290, As008G188300	Cg001G020210, Cg006G236580, Cg006G236570, Cg006G236560, Cg006G236590
OG0000423	As010G241040	Cg007G273210
OG0000423	As012G269020	Cg006G195220
OG0000429	As009G215310	Cg008G305090
OG0000429	As002G052030	Cg008G291690
OG0000429	As001G004910	Cg001G008100, Cg005G188170
OG0000430	As011G263500	Cg004G152450
OG0000430	As001G014590	Cg001G005380
OG0000430	As007G181940	Cg005G193810
OG0000431	As001G019780	Cg007G251970
OG0000431	As008G187750	Cg006G235970, Cg006G235980
OG0000432	As002G044400	Cg003G099400
OG0000432	As006G134280	Cg001G014130
OG0000432	As002G047750	Cg003G103300
OG0000433	As003G075340	Cg008G318270
OG0000435	As001G004050, As006G138290	Cg006G224010
OG0000436	As011G266430, As002G048360	Cg001G014470, Cg003G104180, Cg001G011130, Cg004G156050, Cg004G156060
OG0000437	As003G062850	Cg006G211940
OG0000438	As004G085300	Cg003G081140
OG0000439	As008G194170	Cg006G240180, Cg006G240170
OG0000439	As012G285510	Cg002G047030
OG0000439	As006G127290	Cg005G175260
OG0000440	As006G136440	Cg008G297760, Cg004G118560
OG0000441	As011G248660	Cg004G132880
OG0000441	As011G248650	Cg004G132870, Cg004G132860
OG0000446	As009G219000	Cg003G110320
OG0000446	As001G023650	Cg002G074360
OG0000446	As008G183010	Cg006G231520
OG0000447	As011G247170	Cg004G131200
OG0000447	As004G081330	Cg005G172640
OG0000447	As003G069220	Cg006G218040
OG0000448	As004G089550	Cg008G324500, Cg008G324490, Cg008G324510
OG0000449	As010G224860	Cg002G061250
OG0000449	As005G114720	Cg003G107590
OG0000449	As010G224870	Cg002G061240
OG0000449	As005G114730	Cg003G107580
OG0000454	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520	Cg003G099450
OG0000460	As005G099100	Cg007G250660, Cg007G250670
OG0000461	As008G199680	Cg006G245470
OG0000462	As009G214710	Cg006G210000
OG0000463	As010G224360, As010G224370	Cg002G060360, Cg002G060380, Cg002G060460, Cg002G060450, Cg002G060570, Cg002G060480
OG0000466	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670	Cg005G169700, Cg005G160230, Cg008G284120
OG0000468	As012G280020	Cg002G051880
OG0000468	As006G125920	Cg005G173840
OG0000468	As006G144160	Cg005G167330
OG0000471	As003G069540, As003G069550	Cg006G217740, Cg006G217720, Cg006G217730, Cg006G217690
OG0000472	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050	Cg001G040820
OG0000472	As004G097020	Cg001G040810, Cg001G040800
OG0000473	As012G288330, As005G099530	Cg002G044230
OG0000474	As009G216860, As011G261780, As010G222300	Cg002G057990, Cg005G190550, Cg001G009730
OG0000477	As004G084280, As009G211280	Cg008G287900, Cg003G105990, Cg004G153320, Cg005G168060
OG0000482	As004G077750, As001G028390	Cg007G266950, Cg001G038090
OG0000483	As002G047220	Cg003G102670
OG0000484	As009G203850	Cg008G322230
OG0000487	As006G137570	Cg006G241950
OG0000495	As001G001610, As001G001580, As001G001640, As001G001650	Cg003G101210
OG0000495	As007G179430, As007G177930	Cg005G191210
OG0000496	As011G256460, As011G256470	Cg007G248520
OG0000496	As001G012100, As004G090800	Cg004G148140
OG0000496	As002G041610	Cg002G063650, Cg004G148150
OG0000497	As009G210870, As009G211010	Cg008G309780, Cg008G311600
OG0000497	As010G233080, As007G164590, As007G163820, As007G164600	Cg006G209790
OG0000497	As002G040610	Cg006G209780
OG0000498	As002G045150	Cg003G100300
OG0000499	As003G056720	Cg001G022510
OG0000499	As011G246530	Cg004G130580
OG0000500	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480	Cg008G321790
