Orthogroup	Odontarrhena_muralis	Arabidopsis_arenosa
OG0000052	Om008G354070, Om008G326640	jg19555
OG0000052	Om008G326650	jg19552, jg19554
OG0000052	Om008G326590	jg19560
OG0000052	Om008G326580	jg19563, jg19562, jg19561
OG0000055	Om005G224080	jg728
OG0000055	Om001G019570	jg1420
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	jg743, jg744, jg745, jg746, jg747
OG0000056	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970	jg20178
OG0000057	Om004G172320, Om008G335030, Om004G172300	jg28057, jg28058
OG0000058	Om006G269070, Om006G268950, Om004G151670	jg1166, jg14086
OG0000058	Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530	jg27469, jg29921, jg1167, jg13112, jg18866, jg12231, jg7250, jg7021, jg20411, jg13499, jg11079, jg14182, jg13958, jg21898, jg21900, jg14025, jg21057, jg8024
OG0000061	Om006G238480	jg1799, jg24928, jg17678, jg1125, jg28032, jg32127, jg20814
OG0000061	Om003G106600, Om008G345470, Om008G347220	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490	jg7377
OG0000063	Om005G185480	jg22905
OG0000063	Om006G245470	jg17853
OG0000063	Om005G185660	jg15309
OG0000063	Om007G283280	jg29139, jg21260, jg29120, jg22936
OG0000064	Om001G041080	jg8362
OG0000065	Om010G364610	jg21206
OG0000066	Om004G164550	jg27126, jg7203, jg3219, jg3220
OG0000066	Om008G337830	jg13471
OG0000066	Om004G165570	jg1404
OG0000067	Om001G023220	jg24838, jg24839
OG0000067	Om004G137760	jg4261, jg4260, jg4298
OG0000067	Om004G163960, Om004G163910, Om001G022040, Om004G163900	jg4679
OG0000068	Om006G264170, Om007G304230, Om004G149200, Om004G147110	jg32484
OG0000069	Om005G212060	jg13268
OG0000069	Om005G223000	jg32690
OG0000071	Om001G016290, Om004G163830	jg17558
OG0000071	Om008G360280, Om004G166900	jg28233, jg727, jg15329
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	jg27454, jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058, jg17478, jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091
OG0000073	Om008G360660, Om008G360260	jg20412
OG0000074	Om004G144080	jg30930
OG0000074	Om004G144350	jg30938
OG0000074	Om004G143980	jg30934
OG0000074	Om004G144100	jg17689, jg30932, jg30931
OG0000074	Om004G144220, Om004G144230	jg30936
OG0000074	Om004G143840	jg30922
OG0000075	Om008G356700, Om004G132620, Om001G003590, Om001G003700	jg29545, jg29543
OG0000075	Om005G194550	jg10637
OG0000076	Om006G242520	jg1458, jg1459, jg1457, jg13392, jg13393, jg13394
OG0000076	Om003G090370	jg13388, jg13373, jg13390
OG0000077	Om001G035000	jg8426
OG0000077	Om001G039420	jg26791
OG0000077	Om001G034120, Om001G040110, Om005G191300	jg7664
OG0000077	Om001G033890	jg32692, jg26472, jg32685, jg32682, jg8427
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490	jg8424, jg8422
OG0000077	Om005G195310	jg1000, jg934
OG0000078	Om007G305480, Om008G337420	jg13800, jg25795, jg13799, jg25794
OG0000079	Om003G122890, Om003G122910, Om003G122930, Om003G122940	jg15929
OG0000079	Om003G122800, Om003G122790	jg17321, jg17317, jg17322
OG0000079	Om003G122810	jg15921
OG0000079	Om003G122880, Om003G122870	jg15911, jg15928
OG0000080	Om004G135430	jg12190
OG0000080	Om001G013570	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	jg18014, jg18020, jg18016, jg18005, jg18012, jg25262
OG0000081	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470	jg32882, jg32881, jg32883, jg33223
OG0000081	Om003G118960, Om005G227240	jg461
OG0000081	Om003G096460	jg33221, jg2643
OG0000081	Om005G184670, Om005G184660	jg5636
OG0000083	Om005G206370	jg27544, jg27541
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580	jg17289
OG0000086	Om004G163220	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973
OG0000087	Om006G238380	jg6235
OG0000087	Om007G282390	jg17972
OG0000087	Om006G235110	jg23223
