Orthogroup	Odontarrhena_muralis	Cardamine_hirsuta
OG0000185	Om001G041450, Om008G356330, Om008G319330	CARHR146770, CARHR116590
OG0000186	Om007G285030	CARHR103200
OG0000187	Om001G030100, Om008G336940	CARHR239530
OG0000187	Om001G028140	CARHR239540
OG0000187	Om001G028260, Om001G028280	CARHR239600
OG0000187	Om002G054360, Om002G054350	CARHR085640
OG0000189	Om007G298410, Om006G250870, Om001G039670	CARHR246590
OG0000189	Om001G037310	CARHR132630
OG0000190	Om008G353940	CARHR253020
OG0000190	Om008G355670	CARHR250360
OG0000190	Om008G353960	CARHR259510
OG0000191	Om005G197150	CARHR091820
OG0000191	Om005G197140	CARHR293570, CARHR148120, CARHR091830
OG0000191	Om002G064270	CARHR107420, CARHR107440, CARHR293580, CARHR148110
OG0000192	Om005G203480	CARHR059110
OG0000192	Om005G203440	CARHR181970
OG0000192	Om005G203410	CARHR181980, CARHR256500
OG0000193	Om002G071740, Om002G071690	CARHR099220
OG0000193	Om005G206290	CARHR097030, CARHR150060, CARHR108190, CARHR108200
OG0000195	Om003G119760	CARHR136200
OG0000195	Om007G285150	CARHR058380, CARHR215030, CARHR114540, CARHR191680
OG0000196	Om005G182070	CARHR203250
OG0000196	Om005G182080	CARHR028740
OG0000196	Om007G289440	CARHR028490
OG0000196	Om005G183260, Om008G337540	CARHR110490
OG0000200	Om005G182720	CARHR291830, CARHR263700
OG0000202	Om020G374490, Om011G365230	CARHR099690, CARHR024770
OG0000203	Om003G095370, Om002G055150	CARHR078880, CARHR078860, CARHR078870
OG0000203	Om002G046450, Om002G046460	CARHR201470
OG0000204	Om002G070990	CARHR098530
OG0000207	Om004G136280	CARHR180390
OG0000207	Om005G197960, Om005G197970	CARHR017450
OG0000208	Om001G040250	CARHR264830
OG0000210	Om001G032060, Om001G032100	CARHR145910, CARHR145930, CARHR145900
OG0000210	Om007G278540	CARHR127190
OG0000213	Om004G141230, Om005G208800	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360
OG0000213	Om002G053370	CARHR084950
OG0000213	Om001G036460, Om001G036440, Om001G036450	CARHR292800, CARHR292790, CARHR292750, CARHR257100, CARHR292760, CARHR285920
OG0000214	Om004G136700, Om004G136680, Om004G145470	CARHR250390, CARHR248840, CARHR250400, CARHR250050
OG0000216	Om001G007580	CARHR229000, CARHR229580
OG0000216	Om001G008700	CARHR283650, CARHR229570
OG0000216	Om003G116290, Om001G008720, Om006G250260	CARHR229010, CARHR229070, CARHR229050, CARHR229110
OG0000217	Om001G001730	CARHR283900
OG0000218	Om005G195550	CARHR015470, CARHR015480
OG0000218	Om001G010890, Om001G010900, Om001G010920	CARHR147290
OG0000218	Om006G241660	CARHR144080
OG0000219	Om005G213260	CARHR058980
OG0000219	Om007G282230	CARHR123080, CARHR123060
OG0000219	Om008G350180, Om006G237850, Om006G237870	CARHR266750
OG0000220	Om004G175360, Om004G175350, Om004G175400	CARHR211050
OG0000224	Om004G134640, Om004G134630	CARHR071060, CARHR071050, CARHR071040
OG0000224	Om005G225780	CARHR048360, CARHR048350, CARHR048370
OG0000225	Om007G289790	CARHR028850, CARHR028820, CARHR028900, CARHR028880, CARHR028810
OG0000225	Om007G289780, Om007G289840, Om007G289820, Om007G289860, Om007G289850	CARHR028760
