Orthogroup	Odontarrhena_muralis	Cochlearia_excelsa
OG0000053	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830	g48001, g18941, g54246, g1179, g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139
OG0000054	Om006G251510	g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130
OG0000054	Om005G214240	g35345, g4371
OG0000055	Om005G202820, Om005G227820, Om005G224840	g40901
OG0000055	Om008G333680	g40991
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	g44205
OG0000057	Om004G172320, Om008G335030, Om004G172300	g48153, g33319, g33329, g48170, g15766, g33340
OG0000058	Om008G335110, Om007G318000, Om007G289630, Om007G296230	g50156, g182, g51073, g5874, g10583
OG0000061	Om003G100910	g15781, g584
OG0000061	Om006G238480	g45295, g49162, g11094, g32135, g50796, g25177
OG0000061	Om006G263600	g1261, g46382, g48920, g25951, g1599, g17623, g48295, g35530, g34935
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320	g32823, g13726, g11246, g41835
OG0000063	Om005G185660, Om007G283280	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647
OG0000065	Om005G217720	g48353, g38605
OG0000065	Om006G268440	g21237, g20503
OG0000065	Om007G310120	g8443
OG0000065	Om004G155340, Om007G307990	g43174, g26242, g26207
OG0000065	Om010G364610	g12628
OG0000066	Om004G138400, Om001G039490, Om001G039500, Om004G164550	g5393
OG0000066	Om008G337830	g45535, g29501
OG0000066	Om006G231860	g9719
OG0000066	Om004G165570	g156
OG0000069	Om005G212060	g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393
OG0000069	Om005G223000	g4931
OG0000069	Om005G212160	g13794, g4275, g25547, g38079
OG0000070	Om005G218350, Om004G150670	g15856, g15924, g26036
OG0000070	Om007G311790	g30429, g30434, g34722, g20467, g25157, g21277
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	g33477, g30198
OG0000073	Om008G360660, Om008G360260	g18482
OG0000074	Om004G144080	g50301
OG0000074	Om004G144220, Om004G144230	g27549, g27550
OG0000075	Om008G356700	g36278
OG0000076	Om006G255670	g36515
OG0000076	Om006G242520	g10535
OG0000078	Om005G215800	g14794, g15059
OG0000079	Om003G122730	g2000
OG0000079	Om003G122880, Om003G122870	g18915
OG0000080	Om001G013570	g41322
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	g50013, g23668
OG0000081	Om003G096460	g36469
OG0000081	Om005G184670, Om005G184660	g6399
OG0000082	Om004G130570	g33413, g33414, g25297, g33412, g33411
OG0000082	Om003G121830, Om002G084590	g52877, g26306
OG0000087	Om006G238380	g9991
OG0000087	Om006G235110	g9845, g2817, g339
OG0000087	Om004G162490	g5316
OG0000087	Om008G355890	g40485, g11055
OG0000087	Om001G006430	g17371, g24042
OG0000087	Om004G137360	g46232
OG0000088	Om003G119630	g11453, g19510, g40516, g11030, g46886
OG0000088	Om006G242180	g28933, g28934
OG0000089	Om007G292110	g5448
OG0000089	Om004G166350	g29544
OG0000089	Om002G065930, Om003G098490	g13323, g11989
OG0000090	Om005G202290, Om005G179690	g50123
OG0000090	Om004G136810	g46242
OG0000090	Om002G055690, Om003G124430, Om006G274160	g10675
OG0000093	Om003G122050	g2360
OG0000093	Om003G121950	g18958
OG0000094	Om006G267450	g3626, g53292, g23942, g14955, g43515, g52392, g43485, g33019, g33105, g43504, g41597, g3340, g53626, g7214, g42446, g26680, g4029, g52956, g8172, g41919, g53621, g4226, g32819, g22373, g32712, g53876, g9202, g30238, g1498, g42745, g15985, g26177, g41626, g3123, g43506, g3475, g10877, g13033
OG0000096	Om007G301150, Om003G093070, Om006G274060, Om005G199550	g1538, g1535
OG0000097	Om008G355550, Om008G355560	g45186, g45201
OG0000097	Om008G355700, Om008G355610, Om008G355650, Om008G354170, Om008G354150	g40477, g40479, g40476, g40480, g1561
OG0000098	Om005G191670	g49817
OG0000099	Om005G227450	g24889
OG0000099	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970	g43603
OG0000099	Om005G227510	g46874, g4737
OG0000100	Om007G304610	g17260, g37826
OG0000100	Om004G142840	g49149, g32974
OG0000104	Om005G185360	g31072
OG0000104	Om002G069400	g6675
OG0000104	Om003G095400	g54236
OG0000104	Om007G283060	g51117, g51119
OG0000106	Om005G222030	g6393
OG0000107	Om002G067740	g6757
OG0000107	Om004G133090, Om001G020080	g17783, g17676, g17802, g13363, g6693
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	g11756
OG0000109	Om007G303510	g43843
OG0000110	Om003G123410	g2009
OG0000112	Om005G189180	g28315, g1342, g28314
OG0000113	Om008G360430, Om008G360410, Om008G360750	g54287
OG0000113	Om001G037540	g14463, g14267
OG0000114	Om004G135370	g17433
OG0000117	Om002G088690	g16020, g11688, g26091, g32213, g25861, g45402, g46692, g6971, g3396, g51983, g16507, g4175, g24845, g25746
OG0000117	Om001G014560	g19530, g53855
OG0000118	Om008G333780	g14347, g14348, g14394, g45220, g45247
OG0000119	Om004G164230, Om005G214120, Om005G222850, Om002G073780, Om001G001640, Om003G112380, Om001G028670, Om001G025220, Om002G069790, Om006G272030, Om001G037640, Om001G016990, Om008G354440, Om003G114200, Om006G246110, Om008G353100, Om002G077410, Om006G263620, Om003G105760, Om001G022440, Om001G021800, Om007G276370, Om002G076490, Om008G340020, Om007G308200, Om001G017550, Om003G107360, Om002G082300, Om001G020090, Om003G128770	g52379
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	g50178
OG0000120	Om005G221860	g40996
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	g6424
OG0000120	Om007G296760, Om007G296900	g32414, g29781
OG0000122	Om003G118880	g18088
OG0000122	Om003G118940	g1065
OG0000122	Om003G118720	g1066
OG0000123	Om005G193630	g25911
OG0000123	Om005G193560, Om005G193450, Om005G193620, Om005G193610, Om005G193590	g25909, g25905, g25906
OG0000125	Om006G244360	g41348
OG0000125	Om006G245540	g2919, g1294, g28781
OG0000125	Om007G283300	g39998
OG0000126	Om006G262390, Om004G151250	g35446
OG0000127	Om004G176290	g2965
OG0000128	Om004G154610	g31783, g53811, g31875
OG0000128	Om005G217280	g5236, g5604, g3371, g22741
OG0000130	Om006G267480, Om004G149990, Om007G304660	g34628
OG0000131	Om003G106820	g32639, g6351, g24938, g14468, g28182, g27531, g15993
OG0000132	Om008G361300	g53769, g43756, g15634
OG0000133	Om008G358290, Om008G345600, Om001G024110, Om007G315880	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132
OG0000135	Om005G226530	g51256, g14066, g27772
OG0000138	Om001G026370	g10340
OG0000139	Om003G107910, Om003G108000	g25175
OG0000140	Om006G247230, Om006G247200	g28714
OG0000140	Om006G246640	g1252, g28702, g28701
OG0000140	Om006G266710	g11417, g11414
OG0000142	Om007G282780	g37876, g37875
OG0000143	Om003G106950	g43612, g53735, g1831
OG0000144	Om008G351670, Om002G077760, Om005G218980, Om001G015950, Om001G019450	g41746
OG0000145	Om003G116800	g47338, g44486, g14472, g33147, g21632, g42257, g21852, g21844, g36809, g10312
OG0000145	Om008G347500, Om005G215130	g45298
OG0000146	Om003G117410	g1010
OG0000147	Om002G086500	g5985
OG0000147	Om001G025660	g23426
OG0000147	Om007G285990, Om006G249440	g1105
OG0000147	Om004G130850	g46563
OG0000147	Om006G268290	g11547
OG0000147	Om003G106450	g17885
OG0000147	Om002G078960	g6339
OG0000149	Om006G245840	g1282
OG0000149	Om006G256850	g54232, g17375
OG0000150	Om005G201710	g11441, g11440
OG0000151	Om003G114720	g28415
OG0000151	Om001G021860	g17072
OG0000151	Om002G051120	g7540
OG0000151	Om002G082850	g14078
OG0000151	Om003G118410	g28546
OG0000154	Om005G196960	g27332
OG0000154	Om002G056330	g12277
OG0000154	Om004G175620	g54073, g45315, g5784
OG0000155	Om001G020030	g23645
OG0000155	Om001G007100	g42046, g47372
OG0000155	Om002G055620	g7340
OG0000156	Om008G322060	g2802
OG0000156	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020	g52256
OG0000157	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660	g1395
OG0000157	Om008G326040, Om008G355750	g12640, g6146, g50762, g35294
OG0000160	Om006G260300, Om005G203330, Om001G023460, Om002G054080, Om003G092480	g50701, g4120, g45147, g41011, g27084, g7365, g52677, g14499, g43531, g43528, g43537
OG0000160	Om006G239520	g31367, g7023, g36380, g52886
OG0000160	Om001G041000, Om006G275250, Om004G160260	g34541
OG0000160	Om003G104260, Om002G079610	g2884
OG0000160	Om003G110430	g35546
OG0000160	Om005G214710, Om002G079600	g43532
OG0000160	Om008G337340, Om005G210710, Om006G261180	g26266, g4572
OG0000161	Om006G236100, Om006G236170	g392, g9880
OG0000161	Om004G175180	g24222, g24219
OG0000161	Om007G278440	g45103, g45101
OG0000161	Om004G167210, Om006G249300	g45131
OG0000162	Om003G125390	g1914
OG0000164	Om001G024320	g23474
OG0000164	Om001G003920, Om001G003900, Om001G003990, Om001G021910, Om004G130990, Om004G130020	g14196, g38017, g38015, g38013, g38019, g32493
OG0000165	Om005G200180, Om007G315340	g24260
OG0000165	Om003G124770	g36320
OG0000165	Om006G266420	g41606, g13909
OG0000167	Om001G004410	g24121
OG0000167	Om001G004340	g17408
OG0000171	Om005G207720	g45857
OG0000171	Om005G220880	g5177
OG0000171	Om007G301020	g29297
OG0000174	Om003G109150	g26585, g53787, g43917
OG0000175	Om002G084540	g6044, g13998
OG0000175	Om001G035510	g18237
OG0000175	Om005G202200	g31900
OG0000175	Om002G082840	g23036
OG0000176	Om007G291450	g27714
OG0000178	Om002G070900, Om008G348660	g32581
OG0000178	Om004G174380, Om002G066990	g26273
OG0000178	Om006G274730	g9695, g823, g53495
OG0000178	Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680	g1397, g32976, g16363, g43554, g12264, g7844, g50196, g14780, g46746, g53399
OG0000178	Om001G019830, Om008G338100	g3844, g12585
OG0000180	Om006G256410, Om003G119900	g13531
OG0000181	Om005G212500	g16615
OG0000183	Om008G341930	g11496, g11193
OG0000184	Om006G270790	g15959, g53597, g36626, g53120, g22863, g17905, g44091, g17915, g2401, g5948, g51641, g10990, g27914, g52236, g53121, g53878, g53859, g35463, g48936, g32701
OG0000185	Om001G041450, Om008G356330, Om008G319330	g35118, g49472, g24428, g49019
OG0000186	Om007G285030	g1666
OG0000186	Om004G150540	g16333
OG0000186	Om005G218260	g52922
OG0000187	Om001G028150, Om001G030060, Om001G033230, Om001G030100, Om008G336940, Om001G028140, Om004G145860, Om004G145950	g35037
OG0000188	Om002G075380	g53386, g35584, g43664, g43835
OG0000188	Om004G132310	g53593, g34536, g34529, g34527, g52897, g4352, g52637, g4416, g18814, g11793, g4976, g41675, g36864, g16524, g16533, g16548, g16267, g18813, g46725, g4503, g16605, g52968, g4417
OG0000190	Om008G353940	g40442
OG0000191	Om005G197140	g6928
OG0000192	Om005G203440	g50732, g27488
OG0000195	Om006G243060	g28899, g761
OG0000195	Om008G328660	g11258, g38152, g2056
OG0000195	Om007G285150	g18117
OG0000197	Om008G330910, Om001G002150, Om004G163020	g18526, g7663
