Orthogroup	Odontarrhena_muralis	Euclidium_syriacum
OG0000109	Om007G296220	ESY2_g36671_DN2_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1
OG0000109	Om007G303510	ESY4_g22477_DN2_SP0_c0.t1, ESY15_g64509_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1
OG0000111	Om006G259270	ESY20_g12773_DN2_SP0_c0.t1
OG0000112	Om006G237220, Om006G237210, Om001G003630, Om008G359070, Om008G359090, Om008G359060, Om005G189180	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000113	Om005G227040, Om005G227030	ESY5_g2214_DN1_SP0_c94.t1
OG0000113	Om008G360430, Om008G360410, Om008G360750	ESY16_g61595_DN1_SP0_c0.t1
OG0000113	Om001G037540	ESY7_g16449_DN1_SP0_c0.t1
OG0000113	Om001G037890, Om001G037740, Om002G045700	ESY3_g32130_DN3_SP0_c69.t1
OG0000113	Om001G034170, Om002G081270	ESY6_g49439_DN2_SP0_c0.t1
OG0000117	Om002G088690	ESY6_g47811_DN1_SP0_c0.t1
