Orthogroup	Conringia_planisiliqua	Cardamine_amara
OG0000132	CP15_g34919_DN3_SP0_c.t1	evm.model.RL_2.3365
OG0000132	CP8_g52858_DN3_SP0_c.t1	evm.model.RL_4.679
OG0000135	CP5_g2025_DN2_SP0_c.t1	evm.model.RL_5.2242
OG0000135	CP6_g7882_DN2_SP0_c.t1, CP20_g4161_DN1_SP0_c.t1	evm.model.RL_4.523, evm.model.RL_3.1563
OG0000135	CP3_g15628_DN2_SP0_c.t1	evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041
OG0000135	CP8_g52524_DN1_SP0_c.t1, CP5_g2026_DN1_SP0_c.t1, CP21_g11066_DN3_SP0_c.t1	evm.model.RL_4.225
OG0000136	CP9_g28199_DN3_SP0_c.t1	evm.model.RL_3.1028
OG0000137	CP1_g39023_DN1_SP0_c.t1, CP45_g22346_DN2_SP0_c.t1, CP8_g52433_DN1_SP0_c.t1, CP6_g9629_DN2_SP0_c.t1, CP3_g15146_DN2_SP0_c.t1, CP16_g55232_DN1_SP0_c.t1, CP7_g44117_DN2_SP0_c.t1, CP5_g3062_DN1_SP0_c.t1	evm.model.RL_7.1543
OG0000143	CP3_g15650_DN3_SP0_c.t1	evm.model.RL_8.1036
OG0000144	CP3_g16755_DN2_SP0_c.t1, CP3_g16065_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1, CP17_g5859_DN2_SP0_c.t1, CP2_g50477_DN1_SP0_c.t1, CP26_g51198_DN2_SP0_c.t1, CP15_g34508_DN1_SP0_c.t1, CP6_g8551_DN1_SP0_c.t1, CP26_g51180_DN2_SP0_c.t1, CP6_g8727_DN1_SP0_c.t1, CP12_g31720_DN3_SP0_c.t1	evm.model.RL_8.1451
OG0000147	CP5_g984_DN3_SP8_c.t1	evm.model.RL_2.2536
OG0000147	CP8_g53733_DN3_SP8_c.t1	evm.model.RL_8.1812
OG0000147	CP9_g29643_DN3_SP8_c.t1	evm.model.RL_3.2406
OG0000147	CP17_g5850_DN3_SP8_c.t1	evm.model.RL_1.2583
