Orthogroup	Cardamine_glauca	Noccaea_praecox
OG0000076	Cg002G071650	Np001G021860
OG0000077	Cg004G151030, Cg005G160440	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000078	Cg002G071190	Np002G086990, Np002G097240, Np002G092810
OG0000079	Cg002G047470	Np001G064190, Np007G422670
OG0000079	Cg005G185620	Np007G389360
OG0000080	Cg005G158270	Np006G334220
OG0000080	Cg005G177050, Cg005G176650	Np005G318150, Np005G318140
OG0000080	Cg005G177060	Np004G240560, Np006G328080
OG0000081	Cg008G298500	Np003G145640
OG0000083	Cg005G178780	Np002G090350
OG0000083	Cg005G190490	Np007G418940
OG0000084	Cg005G189500	Np006G365030, Np006G365010, Np006G365440, Np006G366050
OG0000087	Cg008G303510	Np001G010980
OG0000087	Cg005G177380	Np006G350150, Np008G428160
OG0000087	Cg003G110470	Np005G287050
OG0000087	Cg008G292710	Np003G139100
OG0000087	Cg008G320640	Np001G039930
OG0000087	Cg001G020160	Np005G287110
OG0000087	Cg007G276340	Np002G077440
OG0000088	Cg005G181240	Np001G038910, Np001G038970
OG0000088	Cg001G039390, Cg008G300920	Np003G148700, Np003G148740
OG0000088	Cg003G090240, Cg003G095710	Np001G052870
OG0000089	Cg008G290150	Np003G136030
OG0000089	Cg004G135460	Np007G395030
OG0000089	Cg004G127880	Np007G409340
OG0000089	Cg005G168860	Np001G056580, Np006G336940
OG0000090	Cg006G225800	Np004G235330
OG0000090	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600
OG0000090	Cg001G005770	Np007G385680, Np001G065320, Np001G065030
OG0000090	Cg006G235770	Np007G389920
OG0000093	Cg002G047960	Np001G063230
OG0000093	Cg002G047970	Np001G063180
OG0000093	Cg004G145440, Cg004G145260	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400
OG0000093	Cg002G047940	Np005G317970
OG0000096	Cg007G252880	Np002G112160
OG0000096	Cg002G073910, Cg002G073940, Cg002G073930	Np001G024770
OG0000097	Cg003G079780, Cg003G094240	Np003G184990
OG0000097	Cg003G079770, Cg003G094250	Np003G185010
OG0000097	Cg003G079730, Cg003G094300	Np003G171600
OG0000097	Cg003G094290, Cg003G079740, Cg003G079760	Np003G185030
OG0000099	Cg007G246280, Cg007G246260, Cg007G246270	Np002G123560, Np004G228320
OG0000099	Cg007G249510	Np002G113890, Np002G123650, Np007G403740, Np002G123570, Np004G227550, Np002G123550, Np003G166880, Np003G163580, Np002G123540, Np004G215640, Np004G228310, Np002G123620, Np002G123600, Np002G119820, Np002G123590, Np002G123610, Np002G112400, Np002G123530, Np004G215470, Np007G403720, Np002G121140
OG0000100	Cg006G202960, Cg007G265000	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190
OG0000100	Cg008G316000	Np004G233090, Np003G158140
OG0000101	Cg007G246670	Np002G122780
OG0000104	Cg006G238510	Np004G251930
OG0000104	Cg005G178080	Np006G360060
OG0000104	Cg005G177920	Np006G360100
OG0000104	Cg006G200560	Np004G195160
OG0000104	Cg004G138340	Np007G381330
OG0000104	Cg005G178050	Np006G360090
OG0000104	Cg005G178070	Np006G360080
OG0000106	Cg004G136130	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330
OG0000107	Cg005G182320	Np007G398440, Np007G418450
OG0000107	Cg004G136910, Cg004G136890, Cg004G136900	Np007G398420
OG0000108	Cg008G306430	Np001G011650, Np001G011550
OG0000108	Cg004G146470	Np007G389900
OG0000108	Cg007G245680, Cg007G245670	Np004G259470
OG0000109	Cg006G211600	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320
OG0000109	Cg002G064440	Np003G183100, Np004G217760
OG0000110	Cg002G047270	Np001G064490
OG0000110	Cg002G047280	Np001G064470
OG0000110	Cg002G047240	Np001G064520
OG0000110	Cg007G269260	Np001G064540
OG0000111	Cg002G051630	Np001G058370
OG0000112	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460	Np003G184320
OG0000113	Cg007G253910	Np002G122980
OG0000113	Cg007G253850, Cg007G250960	Np002G123190
OG0000117	Cg004G155040, Cg014G333100, Cg005G179380, Cg001G030950	Np007G391540
OG0000118	Cg003G083280, Cg003G083300, Cg006G212340, Cg006G212330, Cg006G212350, Cg003G083440, Cg003G083420, Cg003G083410, Cg003G083390, Cg003G083400, Cg003G083370, Cg003G083380, Cg003G083350, Cg003G083310, Cg003G083460, Cg006G204540, Cg002G064450, Cg013G330430	Np001G044480, Np005G313880
OG0000119	Cg003G096910, Cg005G178360	Np004G207330, Np002G099820, Np005G299250, Np003G165980, Np004G231120, Np005G282950, Np004G230600, Np003G169670, Np003G176970
