Orthogroup	Cochlearia_excelsa	Cardamine_glauca
OG0000160	g18242, g43133, g51696, g50701, g4120, g45147, g41011, g27084, g7365, g52677, g14499, g43531, g43528, g43537, g17864, g49147, g47671, g45898, g31367, g7023, g36380, g52886, g25655, g34541, g2884, g45657, g49668, g44739, g25290, g35546, g43532, g38501, g6015, g7845, g16303, g13162, g13371, g14782, g46745, g36801, g27089	Cg007G264990, Cg006G202970
OG0000160	g35544, g35547, g21290, g38500, g31368, g20451, g3846, g34289, g36270, g12262, g7846, g25656, g7022, g9694, g49667	Cg003G091850
OG0000161	g392, g9880	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	g24222, g24219	Cg006G215310
OG0000161	g45103, g45101	Cg007G261320
OG0000161	g45131	Cg007G257190
OG0000162	g1914	Cg005G178220
OG0000165	g24260	Cg009G325660
OG0000165	g41606, g13909	Cg001G034730, Cg004G147530
OG0000167	g24121	Cg001G021130
OG0000169	g46162	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840
OG0000171	g45857	Cg006G222370, Cg007G270890
OG0000171	g5177	Cg006G235360, Cg007G250530
OG0000171	g29297	Cg008G294880
OG0000173	g52822, g25282, g31108, g41537, g37373, g50635, g15729, g49146, g17663, g37839, g27055, g49999, g53725, g17352, g17357, g17341, g1801, g25289, g14575, g15732, g18062, g46682, g32984, g45423, g24727, g33298, g51510, g2110, g32983, g4808, g10113, g26535	Cg003G091670
OG0000174	g26585, g53787	Cg009G325780, Cg006G205480
OG0000175	g6044, g13998	Cg002G055540
OG0000175	g47947	Cg001G004130
OG0000178	g50828, g25935, g6093, g32581	Cg014G331270
OG0000178	g9695, g823, g53495, g13019, g16431, g16432, g1623, g34290, g17678, g41214, g52052, g38502, g20449, g48334, g14419, g36920, g49526, g53614, g23518, g17258, g37824, g12602, g23535, g6014, g1397, g32976, g16363, g43554, g12264, g7844, g50196, g14780, g46746, g53399, g50147, g54117, g44990	Cg002G069730, Cg002G066500
OG0000178	g3844, g12585, g50586	Cg008G316010
OG0000180	g13531	Cg001G043140
OG0000180	g34299	Cg007G269630
OG0000184	g35558, g35553, g3065, g43650, g15959, g53597, g36626, g53120, g22863, g17905, g44091, g17915, g2401, g5948, g51641, g10990, g27914, g52236, g53121, g53878, g53859, g35463, g48936, g32701, g50735, g44198, g25628, g25240, g11530, g35054, g44991	Cg006G215550
OG0000185	g35118, g49472, g24428	Cg003G098770
OG0000187	g35037	Cg001G008920, Cg001G008910
OG0000190	g40442	Cg003G080590, Cg003G080580
OG0000194	g20703, g35818	Cg007G277430
OG0000195	g40143	Cg005G182280
OG0000195	g18117	Cg001G036760, Cg007G265630
OG0000196	g40674	Cg006G240790
OG0000196	g27686	Cg006G202630
OG0000196	g40675	Cg006G240780
OG0000197	g40833, g18526, g7663, g27764, g39817	Cg001G041590
OG0000201	g6534, g11758	Cg004G139100, Cg004G139090, Cg004G139080
OG0000201	g17326, g17323, g17324, g17327, g17336, g17334, g17322, g17332	Cg004G139110
OG0000204	g36933	Cg004G138460
OG0000210	g11480, g11479	Cg005G173500
OG0000213	g38464	Cg005G191730
OG0000216	g47412	Cg001G018790, Cg001G018760
OG0000218	g31564	Cg006G230920
OG0000218	g49926	Cg006G230900, Cg006G230890
OG0000218	g25893, g10793	Cg002G075340
OG0000219	g13335, g45479, g28368	Cg007G266520, Cg007G266510
OG0000219	g46873	Cg005G177180
OG0000219	g311	Cg003G095240, Cg003G111060
OG0000221	g52806, g22946, g6183, g17356, g43665, g43500, g17351, g17354, g41390, g53962, g35050, g22945, g51855, g53388, g43499, g33429, g175, g43666, g35582, g53304, g15934, g5126, g32276, g26607, g6275, g12850, g53575, g26608, g6292, g4337, g36877, g3974, g3981	Cg005G182530
OG0000222	g2261, g45344, g10741, g44563, g51060, g5898, g28476, g32750, g41189, g41204	Cg008G315660, Cg004G151260, Cg001G038580
OG0000224	g46370	Cg007G278160
OG0000224	g40852	Cg001G008870, Cg001G017640, Cg007G247160
OG0000226	g11864	Cg004G128760, Cg006G218020
OG0000228	g32057	Cg008G307350
OG0000228	g44677	Cg007G271280
OG0000229	g47707	Cg001G010780
OG0000230	g46235	Cg008G323410
OG0000231	g18039	Cg007G260410
OG0000233	g53346, g43307, g27732, g16269, g19533, g14957, g52369, g43031, g35549, g48287, g53347, g1483, g14787, g26102, g3184, g53946, g26599, g34930, g48282, g35561, g16294, g33166, g33170, g33200, g34779, g16144, g6202, g26600, g16293, g32898, g33199, g4655, g25229	Cg005G186600
OG0000233	g53703	Cg005G186460
OG0000233	g53753, g43144, g15838	Cg006G211480
OG0000234	g19127	Cg002G051400
OG0000234	g19128	Cg002G051410
OG0000234	g2235	Cg002G051420
OG0000234	g51765	Cg005G166930
OG0000234	g29346	Cg008G293710
OG0000236	g13483	Cg001G028350, Cg004G141830
OG0000236	g6598	Cg004G139220
OG0000238	g48923, g31881	Cg002G071780
OG0000239	g39783	Cg004G149260
OG0000240	g24726	Cg007G263700
OG0000240	g11360, g13978	Cg001G033750
OG0000240	g41655	Cg003G085370, Cg001G030000
OG0000241	g43452	Cg004G145120
OG0000242	g14272, g6162	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680
OG0000242	g31494	Cg006G231900
OG0000242	g31496, g31497, g31498, g31499	Cg006G231890
OG0000244	g17320	Cg001G019150, Cg003G093660, Cg003G080320, Cg001G019160
OG0000246	g32856, g43081, g6314, g6240	Cg002G073880
OG0000248	g25664	Cg003G081360
OG0000248	g41086, g41090, g41083	Cg007G252860
OG0000249	g37185	Cg005G169790
OG0000254	g6897	Cg004G134710
OG0000254	g1607	Cg005G190180
OG0000257	g48005	Cg004G126080, Cg001G001780
OG0000258	g10576	Cg002G072310, Cg002G072330
OG0000258	g39309	Cg003G104860
OG0000258	g16641	Cg002G072320
OG0000266	g27624	Cg003G098940, Cg003G099000
OG0000267	g17092	Cg005G193150
OG0000268	g1514	Cg002G074810
OG0000268	g45297	Cg008G282710
OG0000268	g19165	Cg002G052420
OG0000269	g32698	Cg002G069710
OG0000269	g32697	Cg006G211850
OG0000270	g23060, g18216, g18323	Cg001G000740
OG0000270	g50111	Cg006G226060
OG0000271	g25541	Cg003G079870
OG0000271	g40469	Cg006G199270
OG0000272	g6807	Cg008G325020
OG0000274	g28758	Cg003G107390
OG0000274	g2936, g2910	Cg002G061020
OG0000274	g39974	Cg005G177430
OG0000277	g47115	Cg001G025730, Cg001G025680, Cg001G025710, Cg001G025690, Cg001G025720
OG0000278	g10751, g26081, g26058	Cg003G105620
OG0000281	g36419	Cg006G199670
