Orthogroup	Noccaea_praecox	Alyssum_gmelinii
OG0000072	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100
OG0000072	Np003G1588900, Np007G4122700, Np005G2824400	Ag002G0206800
OG0000074	Np001G0425700, Np002G0733000	Ag025G2969700
OG0000075	Np005G2617200	Ag034G3817800, Ag001G0065600, Ag001G0065500, Ag001G0065400
OG0000075	Np005G2617300	Ag021G2601300
OG0000076	Np005G2608900	Ag011G1037000
OG0000076	Np001G0369900	Ag006G0792900
OG0000077	Np001G0381300	Ag033G3566700
OG0000077	Np001G0247700	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900
OG0000077	Np002G1126100	Ag002G0173900
OG0000077	Np001G0381400	Ag006G0838600
OG0000078	Np007G4214700	Ag014G1809300, Ag014G1810300
OG0000079	Np004G2051400	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300
OG0000079	Np004G2152100, Np004G2296400	Ag018G2444300, Ag022G2658800
OG0000080	Np004G2051300	Ag052G4837300, Ag013G1389600, Ag039G4333600, Ag057G4952500, Ag013G1421000
OG0000080	Np002G1069800, Np003G1699800, Np003G1739700, Np005G2816500, Np005G2910900, Np002G1141300, Np006G3581700, Np006G3582100, Np002G0830100, Np003G1646000, Np005G2892700, Np005G3091900, Np003G1699700, Np005G2976700, Np009G4324800, Np002G1006200, Np003G1668800, Np002G1054600	Ag025G2955200, Ag031G3220300, Ag042G4408900, Ag025G2921000, Ag024G2850500, Ag007G0892400, Ag014G1963800, Ag013G1458800, Ag031G3395500, Ag011G1186400, Ag048G4623700
OG0000081	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300	Ag034G4022300
OG0000081	Np005G2602400	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300
OG0000082	Np005G2991300, Np006G3323100	Ag061G5051200
OG0000082	Np001G0452000, Np005G2743400	Ag066G5133800
OG0000083	Np003G1476800	Ag011G1108800
OG0000084	Np004G2273500	Ag087G5426100
OG0000084	Np007G3915500	Ag045G4513700, Ag039G4295400, Ag058G4994100, Ag004G0561600, Ag010G1007700
OG0000086	Np002G0867100	Ag036G4084000
OG0000089	Np001G0109800	Ag004G0519800
OG0000089	Np001G0070200	Ag055G4906500, Ag004G0479400
OG0000089	Np006G3501600, Np008G4281600	Ag013G1621300
OG0000089	Np003G1391100	Ag013G1488000
OG0000089	Np001G0399300	Ag016G2360800
OG0000089	Np005G2871200	Ag033G3591100
OG0000089	Np002G0774400	Ag048G4693300
OG0000090	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300	Ag021G2604300, Ag013G1401800, Ag003G0404200
OG0000090	Np006G3523700, Np004G2304300	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300
OG0000091	Np001G0389100, Np001G0389700	Ag006G0816700
OG0000091	Np003G1487100	Ag004G0570300
OG0000095	Np006G3650600, Np006G3650500, Np006G3650700	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900
OG0000095	Np006G3650300	Ag039G4205200
