Orthogroup	Arabidopsis_arenosa	Cochlearia_excelsa
OG0000111	jg26895, jg27877, jg15265	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578
OG0000114	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973	g50797, g32639, g15993, g24938, g6351, g14468, g28182, g27531
OG0000114	jg6733	g15992
OG0000115	jg32874, jg29546	g16651, g17473, g31783
OG0000116	jg21091, jg22360, jg6813, jg6561	g27853
OG0000116	jg16608, jg16609	g26228
OG0000116	jg17285, jg32306, jg32304, jg2010	g37724, g5356, g4750, g32775, g32782, g18438
OG0000116	jg27190	g43452
OG0000117	jg30936	g27550, g27549
OG0000117	jg30930	g50301
OG0000118	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773	g35294, g50762, g6146, g12640
OG0000118	jg24305, jg26630, jg26627, jg26631, jg26628, jg7233	g12809
OG0000118	jg26990	g1395
OG0000119	jg14325	g11441, g11440
OG0000122	jg21685	g18088
OG0000122	jg22485	g1066
OG0000123	jg21770	g1342
OG0000125	jg17896	g51118
OG0000125	jg29111	g31072
OG0000125	jg33352, jg33355	g18497
OG0000125	jg33347	g54244, g54237, g54238
OG0000125	jg26323	g6675
OG0000125	jg33349	g54236
OG0000126	jg27207	g27940
OG0000126	jg754	g16331
OG0000126	jg1156, jg1158	g8607, g29944, g38807, g43388
OG0000126	jg32822	g53532, g24771, g30546
OG0000126	jg27206, jg17305	g41907
OG0000126	jg10194, jg10477	g35916, g41273, g52652
OG0000127	jg6123	g41348
OG0000127	jg15301	g19182
OG0000127	jg22931, jg14378, jg14383	g2919, g1294, g28781
OG0000127	jg17851	g39998
OG0000128	jg15969	g2010
OG0000128	jg13485, jg15959, jg15960	g2009
OG0000128	jg11381	g50627
OG0000129	jg1820	g45131
OG0000129	jg1832	g24222, g24219
OG0000129	jg1847	g45103, g45101
OG0000129	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823	g9880
OG0000132	jg7387, jg7388	g51066
OG0000134	jg20706	g4924
OG0000134	jg20992, jg20995, jg20998, jg20997, jg20999, jg4953, jg20994	g18420
OG0000136	jg13269	g52239
OG0000136	jg159	g24804, g17512, g42675
OG0000140	jg1149	g47161
OG0000140	jg6686	g40049
OG0000140	jg832	g49472, g35118
OG0000142	jg14912	g18265, g4667, g6863, g52232, g27388, g11123, g52103, g23862, g47169, g27185, g24485, g24533, g54350, g17644, g6327, g3423, g4526, g11032, g4684, g26706, g1920, g26785, g32853, g5189, g2123, g47377, g4687, g53003, g43719, g43445, g16638, g52994, g16654, g5024, g43828, g52202, g45731, g5949, g35415, g44526, g3333
OG0000143	jg11978	g24947, g35918, g41958, g24857, g24997
OG0000143	jg20945	g42790
OG0000148	jg461	g36469
OG0000148	jg5636	g6399
OG0000151	jg15449	g19127
OG0000151	jg15448	g19128
OG0000151	jg19118	g51765
OG0000151	jg15447	g2235
OG0000151	jg15282	g2346
OG0000151	jg18884	g51633
OG0000151	jg5170	g29346
OG0000152	jg22974	g17907, g40836, g15958
OG0000152	jg18640	g26664, g36987, g44091, g17905, g11529, g42939, g14500, g48935, g14510, g14521, g36332, g14542, g48939
OG0000153	jg18114	g51155, g51154, g51130, g51156
OG0000153	jg17932	g51131, g40020
OG0000153	jg29098	g37875, g37876
OG0000154	jg33217, jg33218, jg5696, jg5697	g36466, g36467
OG0000154	jg1392, jg1393, jg33212	g54212, g36163, g36472
OG0000157	jg31640	g27714
OG0000159	jg17431, jg6891	g14659, g33594, g26152, g43872, g14817, g4106, g53756, g26059, g19681, g43464, g35132
OG0000160	jg28078	g5985
OG0000160	jg9392	g23426
OG0000160	jg22635	g1105
OG0000160	jg27288	g6339
OG0000160	jg13954	g11547
OG0000160	jg3697	g46563
OG0000160	jg16942	g50994
OG0000164	jg6848, jg11792, jg7487, jg11793	g33080, g33073, g33069, g14660, g26417
OG0000164	jg27251	g15914
OG0000164	jg26448, jg6518, jg6519	g24992
OG0000166	jg21554	g46166
OG0000169	jg32767, jg32768, jg32765	g53988
OG0000170	jg19951	g52257
OG0000171	jg22050	g915, g28415
OG0000171	jg27769	g14078
OG0000171	jg22463	g28546
OG0000171	jg24782	g7540
OG0000174	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725	g50178
OG0000175	jg29462, jg30921	g32098, g27548, g50297
OG0000175	jg5289	g29297
OG0000175	jg16299	g50814
OG0000176	jg32422	g7705
OG0000177	jg3362	g27488, g50732, g31972
OG0000178	jg7702	g40442
OG0000178	jg7707	g45158
OG0000178	jg7705	g45173
OG0000179	jg1096	g44052
OG0000182	jg31826, jg16158, jg16157	g27624
OG0000182	jg15559	g11014, g40790
OG0000183	jg2098, jg12245	g18117
OG0000183	jg17567	g40143
OG0000184	jg26416, jg26419	g17322, g17326, g17324, g17323, g17327, g17334, g17336, g17332
OG0000184	jg26421, jg26423, jg26420, jg26422, jg26417, jg26418	g11846
OG0000185	jg26094	g32332, g32334, g32337
OG0000185	jg29773, jg30591, jg31725, jg31727, jg31723, jg19265, jg23338	g11864
OG0000186	jg3970	g14029
OG0000187	jg16584	g17092
OG0000189	jg8854	g23036
OG0000189	jg3242, jg30537	g50117
OG0000192	jg647	g25906, g25905, g25909, g25912, g25904
OG0000192	jg29806	g25911
OG0000192	jg9826, jg14270	g17137
OG0000193	jg32770	g27763
OG0000196	jg12776	g43806, g43821
OG0000196	jg12778	g43783, g53971, g43782, g43797, g53972, g23981
OG0000197	jg10625, jg12243, jg10623	g24122
OG0000197	jg12242	g17408
OG0000198	jg12942	g25893
OG0000198	jg11388	g10793
OG0000198	jg29979	g31564
OG0000198	jg29981	g49926
OG0000200	jg28892	g40675
OG0000200	jg31430	g32383
OG0000200	jg28891	g40674
OG0000200	jg31559	g27686
OG0000201	jg32554	g4655, g26600, g16293, g32898, g33199, g25229, g26102, g33200, g34779, g16144, g6202, g53346, g27732, g43307, g16269, g19533, g52369, g14957, g43031, g42816, g1483, g14787
OG0000201	jg1346	g15747
OG0000201	jg24835	g33170, g33166, g16294, g26599, g48282, g34930, g35561, g53946, g3184, g41190, g25228
OG0000202	jg8000, jg7249	g1023, g25454, g25477
OG0000203	jg15846, jg15848	g1974, g1973
OG0000203	jg15851	g18958
OG0000203	jg15862	g2360
OG0000205	jg11810, jg11812, jg11730	g11567
OG0000206	jg23550	g8618, g48844, g29953, g30349, g34591, g45346, g42202, g30177, g35498, g42663
