Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0000050	jg11604	ESY7_g16182_DN3_SP0_c92.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1
OG0000050	jg14086	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1
OG0000050	jg19949, jg4268	ESY1_g9981_DN2_SP0_c0.t1, ESY7_g19658_DN2_SP0_c17.t1, ESY3_g29149_DN1_SP0_c0.t1, ESY9_g45386_DN2_SP0_c0.t1, ESY21_g55697_DN2_SP0_c0.t1, ESY10_g15754_DN1_SP0_c0.t1, ESY3_g27878_DN2_SP0_c0.t1
OG0000051	jg29349	ESY5_g5128_DN3_SP0_c0.t1
OG0000051	jg19557	ESY5_g2704_DN3_SP0_c0.t1
OG0000051	jg19555	ESY5_g5127_DN3_SP0_c0.t1
OG0000051	jg19553, jg19551, jg19550, jg907, jg19552, jg19554, jg18423	ESY12_g51336_DN3_SP0_c0.t1
OG0000051	jg19560	ESY5_g2706_DN3_SP0_c11.t1
OG0000051	jg19561, jg19562, jg19563, jg19564	ESY12_g51338_DN3_SP0_c0.t1
OG0000052	jg20913, jg15189	ESY1_g10445_DN3_SP0_c0.t1
OG0000052	jg21516	ESY1_g10448_DN1_SP0_c0.t1
OG0000055	jg25886, jg26868	ESY2_g35826_DN2_SP0_c0.t1
OG0000055	jg26780	ESY9_g45399_DN1_SP0_c0.t1
OG0000055	jg12073	ESY16_g61649_DN2_SP0_c0.t1
OG0000055	jg25753	ESY9_g43255_DN3_SP0_c0.t1, ESY10_g15079_DN3_SP0_c0.t1
OG0000055	jg12035	ESY3_g29892_DN1_SP0_c0.t1
OG0000055	jg17788	ESY2_g35556_DN3_SP0_c0.t1
OG0000055	jg25908	ESY16_g61658_DN1_SP0_c0.t1, ESY2_g38033_DN2_SP0_c0.t1
OG0000056	jg748	ESY2_g33771_DN2_SP0_c0.t1
OG0000056	jg743	ESY2_g33762_DN3_SP0_c0.t1
OG0000056	jg747, jg744, jg745, jg746	ESY2_g33775_DN1_SP0_c0.t1
OG0000056	jg14491	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1
OG0000058	jg16618	ESY15_g65727_DN2_SP0_c85.t1
OG0000058	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852, jg299, jg32415, jg1839, jg11724, jg1567, jg17278, jg1046, jg17522, jg31083, jg21000	ESY13_g56710_DN1_SP0_c0.t1
OG0000059	jg31675, jg32414	ESY1_g9125_DN2_SP0_c0.t1
OG0000060	jg22905, jg29120	ESY1_g11061_DN3_SP0_c0.t1
OG0000060	jg14371	ESY3_g31636_DN3_SP0_c0.t1
OG0000060	jg21249	ESY6_g48811_DN3_SP0_c0.t1
OG0000060	jg22936	ESY5_g4491_DN3_SP0_c0.t1
OG0000060	jg15309	ESY6_g48808_DN3_SP0_c0.t1
OG0000060	jg14419	ESY6_g48809_DN3_SP0_c0.t1, ESY9_g44877_DN3_SP0_c0.t1
