Orthogroup	Cardamine_amara	Cochlearia_excelsa
OG0000113	evm.model.RL_4.149, evm.model.RL_3.996	g54287
OG0000113	evm.model.RL_4.346	g14463, g14267
OG0000114	evm.model.RL_3.2232, evm.model.RL_3.2202	g17433
OG0000117	evm.model.RL_8.488	g14426, g3736, g53309, g11486, g4476, g24837
OG0000118	evm.model.RL_8.709, evm.model.RL_8.712	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578
OG0000119	evm.model.RL_5.2397	g50178
OG0000120	evm.model.RL_3.399, evm.model.RL_3.395	g40996
OG0000120	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932	g6424
OG0000120	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504	g32414, g29781
OG0000123	evm.model.RL_5.1210	g25911
OG0000125	evm.model.RL_7.1020	g19182
OG0000125	evm.model.RL_4.1435	g41348
OG0000125	evm.model.RL_8.2069, evm.model.RL_7.1764, evm.model.RL_7.1769	g2919, g1294, g28781
OG0000125	evm.model.RL_6.979	g39998
OG0000126	evm.model.RL_1.2513	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732
OG0000126	evm.model.RL_6.543, evm.model.RL_3.859	g16084, g27841, g1792, g4332, g27839, g27662, g37157, g53925, g35446
OG0000128	evm.model.RL_3.715	g53276
OG0000128	evm.model.RL_4.1217	g31783, g53811, g31875
OG0000128	evm.model.RL_3.654	g10185
OG0000128	evm.model.RL_5.2370	g5236, g5604, g3371, g22741
OG0000130	evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707	g26208, g43583
OG0000131	evm.model.RL_5.2318	g34673, g32668, g49077, g28772
OG0000132	evm.model.RL_6.1268, evm.model.RL_7.2086	g53769, g43756, g15634
