Orthogroup	Cardamine_amara	Erysimum_linariifolium
OG0000154	evm.model.RL_1.853	El005G244620
OG0000154	evm.model.RL_2.489	El004G209500
OG0000155	evm.model.RL_3.1179	El005G272960
OG0000156	evm.model.RL_4.1065	El006G282820, El007G349010
OG0000156	evm.model.RL_6.2692	El006G282860
OG0000156	evm.model.RL_8.1108, evm.model.RL_8.1107	El002G121590
OG0000156	evm.model.RL_6.2691	El006G282830
OG0000158	evm.model.RL_6.58	El003G176020, El005G265720, El005G267190
OG0000162	evm.model.RL_3.1091, evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976	El007G330500
OG0000162	evm.model.RL_6.2628	El006G283560, El006G283550
OG0000165	evm.model.RL_1.2284	El006G319440
OG0000167	evm.model.RL_2.1517	El003G166330
OG0000167	evm.model.RL_2.1515	El003G182660, El003G182640
OG0000167	evm.model.RL_2.1514	El003G166350
OG0000169	evm.model.RL_6.454	El006G314460
OG0000171	evm.model.RL_6.2869	El001G034570, El006G280730, El002G093670
OG0000171	evm.model.RL_3.1439	El004G222060, El002G108810
OG0000171	evm.model.RL_3.461	El004G201030
OG0000171	evm.model.RL_4.2162.1.687c86d7	El001G066810
OG0000172	evm.model.RL_7.119	El001G034720
OG0000172	evm.model.RL_3.406, evm.model.RL_3.423	El001G034730
OG0000174	evm.model.RL_2.746, evm.model.RL_7.2138	El005G261670
OG0000174	evm.model.RL_1.3079	El003G181040, El001G047190, El008G371470, El007G350780, El003G181660
OG0000175	evm.model.RL_7.1254	El001G021550
OG0000175	evm.model.RL_3.1995	El004G228610
OG0000175	evm.model.RL_5.1839	El002G104420
OG0000175	evm.model.RL_2.3025	El003G147420
OG0000175	evm.model.RL_2.3122	El003G146230
OG0000177	evm.model.RL_2.478	El006G311500
OG0000178	evm.model.RL_3.909, evm.model.RL_1.2527, evm.model.RL_6.1504	El001G040000, El004G215500, El006G292960, El001G025380, El002G095060, El004G206380, El003G161220
OG0000183	evm.model.RL_3.1014	El004G227200
OG0000185	evm.model.RL_5.3641, evm.model.RL_3.292	El004G210290
OG0000185	evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287	El001G013560
OG0000187	evm.model.RL_2.2676	El003G151270
OG0000187	evm.model.RL_1.1017	El005G246530
OG0000188	evm.model.RL_8.964, evm.model.RL_8.2357	El003G153830
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475	El001G005540
OG0000190	evm.model.RL_8.473	El001G005520
OG0000190	evm.model.RL_8.474.1.687c8557	El001G005530
OG0000190	evm.model.RL_8.916	El005G265350
OG0000192	evm.model.RL_5.3624	El002G105680
OG0000192	evm.model.RL_3.2103	El002G105660
OG0000195	evm.model.RL_6.761	El006G308260
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	El001G028150
OG0000195	evm.model.RL_2.437	El003G186220
OG0000195	evm.model.RL_3.1018	El004G215670
OG0000195	evm.model.RL_4.1537, evm.model.RL_7.1974	El001G012120
OG0000196	evm.model.RL_4.2554	El002G115040
OG0000196	evm.model.RL_1.1858	El002G116380
OG0000197	evm.model.RL_2.911	El003G193160, El005G275730, El005G275770, El005G276170, El003G184300, El002G120020, El003G191670, El003G190970, El003G190840
OG0000200	evm.model.RL_5.455	El004G214290
OG0000200	evm.model.RL_5.451	El002G088260
OG0000203	evm.model.RL_1.381	El005G239330, El005G239300
OG0000203	evm.model.RL_1.380	El005G239360, El005G239320, El005G239280, El007G349670
OG0000204	evm.model.RL_1.2062	El005G243840, El005G241010, El001G005350, El007G342080, El002G082910, El002G082880, El005G261570, El005G259630, El003G152770
OG0000205	evm.model.RL_8.836	El005G273080
OG0000207	evm.model.RL_3.2271	El004G232160
OG0000208	evm.model.RL_2.3387	El003G143000
OG0000209	evm.model.RL_2.469	El004G207340
OG0000209	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273	El004G207330, El004G207320, El004G207280, El004G207300, El004G207310
OG0000209	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276	El004G194580
OG0000209	evm.model.RL_2.160	El003G193190
OG0000210	evm.model.RL_7.1999	El001G038720
OG0000213	evm.model.RL_6.204	El006G319100, El006G319080
OG0000214	evm.model.RL_7.216, evm.model.RL_7.215	El001G033600
OG0000215	evm.model.RL_6.1605	El002G117130
OG0000217	evm.model.RL_7.1931	El004G203070
OG0000217	evm.model.RL_3.599	El004G202120
OG0000218	evm.model.RL_5.1346	El002G099000
OG0000218	evm.model.RL_5.1347, evm.model.RL_5.1349	El002G099030, El002G099010
