Orthogroup	Cardamine_amara	Arabis_alpina
OG0000177	evm.model.RL_2.478	Aa_G26980.h1.t1
OG0000178	evm.model.RL_8.2288	Aa_G20.h1.t1
OG0000180	evm.model.RL_4.643	Aa_G396900.h1.t1
OG0000185	evm.model.RL_5.3641, evm.model.RL_3.292	Aa_G394930.h1.t1, Aa_G89750.h1.t1
OG0000185	evm.model.RL_3.588, evm.model.RL_1.1351	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
OG0000185	evm.model.RL_8.2218	Aa_G520870.h1.t1, Aa_G786940.h1.t1, Aa_G108880.h1.t1
OG0000185	evm.model.RL_6.431	Aa_G234310.h1.t1
OG0000187	evm.model.RL_2.2676	Aa_G145050.h1.t1, Aa_G145080.h1.t1
OG0000187	evm.model.RL_1.1017	Aa_G333270.h1.t1, Aa_G333280.h1.t1
OG0000189	evm.model.RL_6.2240, evm.model.RL_6.2193, evm.model.RL_2.3227	Aa_G187960.h1.t1, Aa_G187970.h1.t1, Aa_G139550.h1.t1
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475	Aa_G320630.h1.t1
OG0000190	evm.model.RL_8.472	Aa_G320670.h1.t1
OG0000192	evm.model.RL_5.3624	Aa_G507530.h1.t1
OG0000192	evm.model.RL_3.2104	Aa_G60820.h1.t1, Aa_G835800.h1.t1
OG0000195	evm.model.RL_7.686, evm.model.RL_6.2234	Aa_G88530.h1.t1, Aa_G562480.h2.t1
OG0000195	evm.model.RL_2.437, evm.model.RL_3.1018	Aa_G505900.h1.t1
OG0000196	evm.model.RL_5.2252	Aa_G695630.h1.t1
OG0000196	evm.model.RL_4.2554	Aa_G152770.h1.t1
OG0000196	evm.model.RL_1.1858	Aa_G366340.h1.t1, Aa_G689010.h1.t1
OG0000197	evm.model.RL_8.487	Aa_G584620.h1.t1
OG0000197	evm.model.RL_2.70	Aa_G631990.h1.t1, Aa_G961810.h1.t1, Aa_G974030.h1.t1
OG0000197	evm.model.RL_8.485	Aa_G493540.h1.t1
OG0000197	evm.model.RL_2.911	Aa_G30010.h1.t1, Aa_G48860.h1.t1
OG0000200	evm.model.RL_5.451, evm.model.RL_1.2415, evm.model.RL_1.2410	Aa_G462040.h1.t1
OG0000201	evm.model.RL_1.3066	Aa_G456930.h1.t1, Aa_G315780.h1.t1
OG0000203	evm.model.RL_1.381	Aa_G462700.h1.t1
OG0000204	evm.model.RL_1.2062	Aa_G29610.h1.t1
OG0000206	evm.model.RL_6.475, evm.model.RL_8.541	Aa_G112200.h1.t1, Aa_G843970.h1.t1
OG0000207	evm.model.RL_3.2270	Aa_G335450.h1.t1
OG0000209	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273	Aa_G135600.h1.t1
OG0000209	evm.model.RL_3.57	Aa_G201960.h1.t1, Aa_G447100.h1.t1
