Orthogroup	Erysimum_linariifolium	Conringia_planisiliqua
OG0000136	El003G186400, El003G186460	CP5_g1706_DN3_SP0_c.t1, CP5_g1838_DN3_SP0_c.t1, CP45_g22371_DN3_SP0_c.t1, CP20_g3814_DN1_SP0_c.t1, CP271_g11211_DN3_SP0_c.t1, CP45_g22369_DN3_SP0_c.t1, CP11_g31887_DN3_SP0_c.t1
OG0000137	El007G356470	CP92_g51792_DN1_SP0_c.t1
OG0000138	El006G314590	CP16_g55313_DN2_SP0_c.t1
OG0000138	El001G050920	CP16_g55443_DN2_SP0_c.t1
OG0000138	El001G045840	CP2_g48870_DN2_SP0_c.t1
OG0000138	El001G045810, El001G045830	CP2_g48868_DN3_SP0_c.t1
OG0000140	El007G332560, El007G332570, El007G332540	CP17_g5869_DN3_SP0_c.t1
OG0000144	El007G351410	CP3_g16755_DN2_SP0_c.t1, CP3_g16065_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1
OG0000144	El006G293730	CP12_g31721_DN2_SP0_c.t1, CP3_g16438_DN3_SP0_c.t1
OG0000144	El007G351390	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1
OG0000144	El007G362000	CP35_g52082_DN2_SP0_c.t1
OG0000146	El002G123070, El007G336890, El002G123110	CP29_g22095_DN2_SP0_c.t1
OG0000147	El005G277400	CP10_g43624_DN3_SP8_c.t1
OG0000147	El003G152940	CP5_g984_DN3_SP8_c.t1
OG0000147	El007G334350	CP8_g53733_DN3_SP8_c.t1
OG0000147	El004G233720	CP9_g29643_DN3_SP8_c.t1
OG0000147	El005G271430	CP17_g5850_DN3_SP8_c.t1
OG0000147	El006G316840	CP16_g55126_DN3_SP8_c.t1
OG0000149	El001G015560	CP3_g14788_DN3_SP0_c.t1
OG0000149	El006G308870, El007G331430	CP8_g53985_DN3_SP0_c.t1
OG0000150	El006G312860	CP8_g53726_DN3_SP0_c.t1
OG0000151	El007G339860	CP8_g53294_DN3_SP8_c.t1
OG0000151	El003G156070	CP5_g1205_DN3_SP7_c.t1
OG0000151	El005G243780	CP10_g42832_DN3_SP8_c.t1
OG0000151	El005G273960	CP10_g43893_DN3_SP8_c.t1
OG0000151	El007G336000	CP8_g53599_DN3_SP8_c.t1
OG0000151	El003G193180	CP19_g17855_DN3_SP6_c.t1
OG0000152	El006G310290	CP14_g23751_DN3_SP0_c.t1
OG0000152	El003G177030	CP1_g41212_DN2_SP0_c.t1, CP6_g7472_DN3_SP0_c.t1, CP18_g11471_DN3_SP0_c.t1, CP22_g17632_DN2_SP0_c.t1
OG0000155	El001G002450, El001G002560, El001G002510, El001G002610	CP11_g32106_DN3_SP0_c.t1
OG0000157	El005G238850	CP7_g45449_DN2_SP0_c.t1
OG0000158	El003G176020	CP4_g24795_DN1_SP0_c.t1
OG0000160	El007G347580, El004G202080, El002G123360, El007G360520	CP15_g35835_DN2_SP0_c.t1
OG0000162	El005G268830	CP16_g55105_DN3_SP0_c.t1
OG0000162	El007G330500	CP8_g54067_DN2_SP0_c.t1
OG0000164	El003G154310, El003G154300	CP5_g1063_DN3_SP0_c.t1
OG0000165	El006G319440	CP6_g9735_DN1_SP0_c.t1
OG0000166	El004G197940	CP8_g54681_DN2_SP0_c.t1
OG0000167	El003G166330	CP6_g6855_DN3_SP0_c.t1
OG0000167	El003G186190, El007G348790	CP6_g6857_DN3_SP0_c.t1
OG0000167	El003G166350	CP1_g38820_DN1_SP0_c.t1, CP1_g38769_DN2_SP0_c.t1, CP1_g38811_DN2_SP0_c.t1
OG0000167	El003G186120	CP6_g6856_DN2_SP0_c.t1
OG0000168	El007G366060, El007G366100	CP15_g35379_DN3_SP0_c.t1, CP13_g20572_DN1_SP0_c.t1
OG0000168	El006G293350, El004G205010	CP8_g52217_DN1_SP0_c.t1
OG0000169	El006G309550	CP16_g55346_DN3_SP0_c.t1
OG0000171	El006G280730	CP4_g24004_DN3_SP6_c.t1
OG0000171	El002G108810	CP9_g28660_DN3_SP6_c.t1, CP7_g45435_DN3_SP8_c.t1
