Orthogroup	Erysimum_linariifolium	Noccaea_praecox
OG0000193	El006G309730	Np007G384080, Np007G384380, Np007G387690
OG0000193	El005G259130	Np007G380880
OG0000193	El002G132160, El002G132130, El005G259240	Np007G381040, Np007G381000
OG0000195	El006G308260	Np006G361540
OG0000195	El003G186220	Np005G312480
OG0000196	El002G115040	Np004G212030
OG0000196	El002G116380	Np003G165460
OG0000196	El002G115030	Np004G211990
OG0000197	El005G275730, El005G275770, El005G276170	Np002G087170
OG0000197	El003G184300, El002G120020, El003G191670	Np003G167690
OG0000200	El002G119250	Np004G217530
OG0000200	El004G202190	Np004G254580
OG0000201	El005G260710	Np007G379560
OG0000203	El005G239360, El005G239320, El005G239280, El007G349670	Np007G420280, Np004G195540
OG0000203	El005G238860	Np007G420850
OG0000204	El005G259630	Np007G381450
OG0000205	El005G273080, El005G273070, El006G312030, El003G178380, El003G178560, El003G178400, El003G178460	Np004G252280
OG0000205	El002G129620, El002G129730, El002G129760, El002G129780, El002G129740, El002G129710, El002G129660, El002G129670, El002G129810	Np001G056450, Np004G200620, Np004G227010
OG0000205	El002G129530, El002G129560, El002G129650, El002G129890, El002G129930, El002G129520, El002G129550, El002G129510	Np004G227020, Np004G200770
OG0000207	El002G100990	Np002G073110, Np002G073100
OG0000209	El004G207330, El004G207320, El004G207280, El004G207300, El004G207310	Np002G123950
OG0000209	El004G194580	Np002G123960, Np002G123970
OG0000209	El003G193190, El007G345850, El007G345610, El007G345740, El007G345570	Np002G123940, Np002G091400
OG0000210	El001G038720	Np001G024460
OG0000210	El006G298860	Np006G357820
OG0000210	El006G298840	Np006G357760
OG0000213	El005G245790	Np005G312500
OG0000213	El006G319110	Np006G368000
OG0000214	El001G033600	Np007G375860
OG0000214	El001G009830, El001G007470, El006G314950, El003G174420	Np003G186320, Np003G186260
OG0000216	El003G163460, El003G163490	Np004G202700, Np005G274080, Np005G314870
OG0000218	El002G099000	Np004G241490
OG0000218	El002G099030, El002G099010	Np004G241460
OG0000218	El002G099020	Np006G363350, Np003G174250
OG0000218	El001G040840, El001G040850	Np005G283350
OG0000218	El001G036390	Np001G027310
OG0000219	El007G327350	Np003G187720, Np001G006210, Np001G006190, Np001G008170
OG0000219	El007G339360	Np001G006200, Np001G008160, Np001G006180
OG0000220	El004G208200	Np003G158780
OG0000221	El001G033300	Np007G412340
OG0000222	El005G268220	Np001G021650, Np005G303660, Np001G029320, Np003G141180, Np001G063040, Np006G365120, Np007G404090, Np004G194850, Np004G215680, Np004G233330, Np003G165700, Np005G311760, Np007G390900, Np004G194840, Np005G309420, Np004G212790, Np001G029240, Np006G365130, Np001G027190, Np003G175170, Np006G322380, Np001G023650, Np005G318440, Np007G420490
OG0000224	El004G196560, El004G196620, El004G196600	Np002G121630, Np002G121680, Np002G121650, Np002G121690
OG0000225	El002G115460, El002G115540, El002G115490, El002G115450	Np004G212520
OG0000225	El002G115470, El002G115510	Np004G212510
OG0000225	El002G115500	Np004G212610
OG0000226	El001G017980, El001G017970, El007G334490, El007G334480, El007G337470	Np001G068820, Np001G002660, Np001G003000
OG0000226	El005G257020, El003G167740, El003G167670, El003G167790, El002G110920, El005G258620, El005G258970, El005G258600	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340
OG0000228	El001G048740, El001G048760	Np004G230940
OG0000228	El002G108430	Np004G230880
OG0000228	El004G222650, El004G222500	Np002G084530
OG0000229	El003G153420	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980
OG0000229	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050	Np007G377500, Np007G377590, Np006G330770
OG0000230	El004G228600, El004G228560	Np002G077290
OG0000231	El003G188200	Np003G174440
OG0000232	El002G128560, El005G261940, El005G261950, El005G261880, El005G261890, El005G272620	Np006G352410, Np006G352420
OG0000234	El001G025990	Np001G058680
OG0000234	El001G025980	Np001G058670
OG0000234	El006G290620	Np006G333910
OG0000234	El001G068080	Np003G140390
OG0000236	El005G261550	Np007G382520, Np007G382570
OG0000237	El002G125730, El006G311120	Np007G404060, Np011G435600, Np006G353300, Np009G431940, Np002G099080, Np003G175580, Np002G097080, Np006G342880, Np006G359350, Np008G429030, Np007G401030, Np005G294080, Np004G224840, Np005G294060, Np007G399830, Np003G170910
OG0000242	El002G097960	Np004G242740
OG0000242	El002G097940	Np004G242760
OG0000244	El003G163990	Np005G286400
OG0000244	El001G005160	Np003G183740
OG0000248	El004G205450	Np002G112170
OG0000248	El003G188180	Np005G313980, Np005G313900
OG0000248	El001G027800	Np001G048790
OG0000249	El001G010190, El001G010200	Np003G177600, Np006G338400
OG0000250	El004G221620, El004G221570	Np002G085780
OG0000250	El003G189050	Np002G086000
OG0000252	El002G140500	Np003G179240
OG0000253	El005G262180	Np003G170230
OG0000254	El004G205790, El004G205810, El004G205800, El004G205770, El005G255250	Np007G383010
OG0000254	El002G133750, El002G133740, El002G133770, El002G133780, El006G290360, El006G289630, El001G046370, El004G220180, El001G033560, El004G219930, El006G289430	Np001G046190
OG0000256	El002G127370, El007G348390, El007G354980, El007G348590, El007G348510, El007G348440, El007G348630, El007G348410, El007G348460	Np004G200500, Np004G200520
OG0000257	El005G269290, El004G209770, El003G178210, El003G177270, El004G233260, El003G184780, El003G190500, El006G318270, El001G009800	Np007G377760
OG0000258	El001G040630, El001G040650	Np001G022690
OG0000258	El007G334450	Np003G156210
OG0000258	El001G040600, El004G213560	Np001G022720
OG0000258	El001G040670	Np001G049130, Np001G022660, Np001G022680
OG0000260	El001G008590	Np005G316850
