Orthogroup	Erysimum_linariifolium	Aethionema_saxatile
OG0000184	El002G135760	As004G089570
OG0000187	El003G151270	As001G003940
OG0000187	El003G151220	As001G003960
OG0000190	El001G005540, El001G005520, El001G005530, El001G005460, El001G005500, El001G005510, El005G265350	As004G085680
OG0000192	El002G105660	As007G157190
OG0000195	El003G186220, El004G215670	As001G028840
OG0000195	El001G012120	As002G033300
OG0000200	El004G202190	As008G194290
OG0000203	El005G238860	As006G136770
OG0000204	El007G342080	As011G253820
OG0000204	El005G261570	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590
OG0000207	El004G232160, El002G100990	As003G061070
OG0000208	El003G142990	As003G075200, As003G075180, As003G075210, As003G060140
OG0000208	El003G143000, El007G341810	As003G075160
OG0000213	El006G319110, El006G319120, El006G319100, El006G319080	As002G038840
OG0000217	El004G203150, El004G202950, El004G203070	As001G019850
OG0000218	El002G099000, El002G099030, El002G099010, El002G099020, El001G040840, El001G040850, El001G036390	As001G022650
OG0000219	El004G216370	As001G028500, As001G028480
OG0000219	El007G327350	As003G064990
OG0000220	El008G369090	As010G227890
OG0000221	El008G369870	As002G040520
OG0000224	El004G230600, El004G230590	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	El005G267900, El004G196560, El004G196620, El004G196600	As001G031540
OG0000225	El002G115460, El002G115540, El002G115490, El002G115450, El002G115470, El002G115510, El002G115440	As003G069680, As003G070050
OG0000225	El002G115500	As003G070030
OG0000228	El001G048740, El001G048760	As007G159250
OG0000228	El002G108430	As010G233780, As010G233750
OG0000228	El005G273580, El004G222520, El004G222650, El004G222500	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	El003G188200	As004G077900
OG0000232	El002G128560, El005G261940, El005G261950, El005G261880, El005G261890, El005G272620	As002G036540, As006G139020
OG0000234	El001G025990	As012G281460
OG0000234	El001G025980, El006G290620	As006G143800
OG0000234	El001G068080	As009G210340
OG0000237	El005G266480, El003G180350	As010G229740
OG0000237	El001G043200, El002G125730, El006G311120	As011G257810
OG0000242	El005G272850, El002G097950, El002G097960, El002G097970, El002G097940	As008G183340, As008G183330
OG0000244	El003G163990	As003G059930
OG0000244	El001G005180	As004G085820
OG0000244	El003G164310, El003G164000	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000244	El001G005170, El001G005160	As004G085860, As004G085850
OG0000246	El007G366210	As011G246640, As012G280010
OG0000248	El004G205450	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	El001G008040	As012G276740
OG0000249	El001G010190, El001G010200	As006G145330, As008G193990, As006G145350, As006G145320
OG0000257	El003G190500, El006G318270, El001G009800	As002G035710, As012G268510
OG0000258	El007G334450	As002G048970
OG0000264	El001G003610	As004G086270, As010G229170
OG0000268	El001G037050	As001G023230
OG0000268	El004G198500	As001G023220, As001G023200
OG0000268	El001G037010	As001G023210, As001G023190
OG0000268	El001G081300	As005G106920
OG0000268	El001G024850	As012G278370
OG0000270	El005G273730	As003G075960
OG0000270	El003G142380	As001G014420
OG0000270	El002G104230	As010G237880
OG0000270	El004G228250	As007G156110
OG0000271	El001G004610, El001G004620	As004G086280
OG0000273	El002G105290	As007G156970
OG0000273	El002G132430	As012G273480
OG0000274	El007G331270	As005G114920
OG0000274	El006G303380, El006G303400	As006G128840, As006G128830
OG0000276	El003G177930	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920
OG0000276	El003G165590	As007G163350, As007G163430
OG0000277	El003G172500, El003G172490	As004G096710
OG0000279	El006G309180	As001G004840, As010G237280
OG0000279	El001G046110, El001G046100	As007G165600
OG0000280	El006G320040	As002G035770
OG0000282	El001G074210	As002G055220
OG0000283	El007G358960	As006G125110
OG0000283	El007G358950, El007G358900, El007G358940, El007G358910	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	El001G051110	As006G139300
OG0000284	El001G010020, El005G240890, El007G347650	As006G139290
OG0000293	El001G045760	As011G259530
