Orthogroup	Erysimum_linariifolium	Odontarrhena_muralis
OG0000171	El001G034570, El006G280730, El002G093670	Om003G127920
OG0000171	El004G222060, El002G108810	Om005G207720
OG0000171	El004G201030	Om005G220880
OG0000171	El001G066810	Om007G301020
OG0000172	El001G030560	Om003G122950
OG0000174	El005G261670	Om003G109150
OG0000175	El001G021550	Om006G257450
OG0000175	El005G275350	Om001G035510
OG0000175	El004G228610	Om004G137100
OG0000175	El003G147420	Om002G082840
OG0000176	El002G117480	Om007G291450
OG0000176	El002G116980, El002G116900, El002G117520, El002G117050, El002G116930, El002G117010, El002G116700, El002G116850, El002G116960, El002G116880	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500
OG0000177	El006G311500	Om002G077990
OG0000178	El003G147820, El003G181580, El001G006740	Om004G134470, Om008G337330, Om006G256200, Om001G009600, Om002G079620
OG0000178	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410	Om002G070900, Om008G348660
OG0000178	El004G208000	Om006G274730
OG0000178	El001G040000, El004G215500, El006G292960, El001G025380, El002G095060, El004G206380, El003G161220	Om001G019830, Om008G338100
OG0000180	El004G196870, El004G196830, El007G342850	Om006G256410, Om003G119900
OG0000183	El006G283640	Om008G341930
OG0000185	El004G197640, El001G013560, El001G037380, El004G194470	Om001G041450, Om008G356330, Om008G319330
OG0000187	El003G151270	Om001G030100, Om008G336940
OG0000187	El003G151220	Om001G028260, Om001G028280
OG0000187	El005G246530	Om002G054360, Om002G054350
OG0000189	El004G229250	Om001G039670
OG0000189	El003G144190, El001G061400, El001G061930	Om001G038960
OG0000189	El001G047730	Om001G037320
OG0000190	El001G005540	Om008G353940
OG0000190	El001G005530	Om008G355670
OG0000191	El005G274730, El005G274430, El005G274440, El005G274460, El005G274720	Om002G064270
OG0000192	El002G105680	Om005G203480
OG0000192	El002G105660	Om005G203440
OG0000192	El002G105570	Om005G203400
OG0000192	El002G105610, El002G105620, El002G105690	Om005G203410
OG0000193	El006G309730	Om002G069160, Om002G069150, Om005G226150, Om005G226170, Om005G226140, Om002G071740, Om002G071690
OG0000193	El005G259130, El002G132160, El002G132130, El005G259240	Om005G206290
OG0000195	El001G028150	Om003G119760
OG0000195	El003G186220, El004G215670, El001G058810, El001G012120	Om007G285150
OG0000196	El002G115040	Om005G185020
OG0000197	El005G275730, El005G275770, El005G276170	Om004G163020
OG0000200	El004G202190	Om005G182720
OG0000201	El005G260650, El005G260640	Om002G070200
OG0000201	El005G260660, El005G260680, El005G260670	Om002G070210
OG0000201	El005G260820	Om002G070220
OG0000201	El005G260710	Om002G070290
OG0000202	El005G254420	Om002G064090
OG0000202	El005G261620, El005G261760, El005G261630	Om020G374490, Om011G365230
OG0000203	El005G239330, El005G239300, El005G239360, El005G239320, El005G239280, El007G349670	Om003G095370, Om002G055150
OG0000203	El003G153180, El005G238860	Om002G046450, Om002G046460
OG0000204	El005G261570	Om002G070990
OG0000207	El004G232160	Om004G136280
OG0000207	El002G100990	Om005G197960, Om005G197970
OG0000208	El007G341810	Om001G040250
OG0000209	El004G207340	Om002G062100
OG0000209	El004G207330, El004G207320, El004G207280, El004G207300, El004G207310	Om005G228040, Om005G227980
OG0000210	El001G038680, El001G038660, El002G139080, El001G069350	Om001G032060, Om001G032100
OG0000210	El006G298860	Om007G278540
