Orthogroup	Erysimum_linariifolium	Cardamine_amara
OG0000112	El007G329910	evm.model.RL_5.3726, evm.model.RL_8.2168, evm.model.RL_8.2167
OG0000113	El004G207200	evm.model.RL_3.97, evm.model.RL_7.1875
OG0000113	El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300	evm.model.RL_3.98
OG0000113	El050G375440, El007G365010, El007G356050	evm.model.RL_3.996
OG0000113	El004G212080	evm.model.RL_4.610, evm.model.RL_4.608
OG0000114	El004G213600	evm.model.RL_3.2232, evm.model.RL_3.2202
OG0000114	El001G070430	evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339
OG0000115	El002G126950, El002G121910, El006G311440, El006G308990	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000116	El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070	evm.model.RL_5.1553
OG0000117	El005G253090	evm.model.RL_8.488
OG0000117	El001G016830	evm.model.RL_3.358
OG0000118	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930	evm.model.RL_8.709, evm.model.RL_8.712
OG0000119	El002G124220	evm.model.RL_5.2397
OG0000120	El004G200260	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	El003G174940, El003G174920	evm.model.RL_2.990, evm.model.RL_2.937
OG0000120	El007G345250, El007G346140, El006G307860	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	El001G077920	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000124	El006G297400, El006G297570, El004G206660, El006G307600, El001G057860	evm.model.RL_4.540
OG0000125	El001G024280	evm.model.RL_7.1020
OG0000125	El005G244660, El001G080460	evm.model.RL_4.3281
OG0000125	El001G057350	evm.model.RL_4.1435
OG0000125	El007G331030	evm.model.RL_8.2069
OG0000125	El001G015130	evm.model.RL_7.1769
OG0000125	El006G304720	evm.model.RL_6.979
OG0000127	El005G244320	evm.model.RL_1.823
OG0000127	El001G001730	evm.model.RL_1.822, evm.model.RL_4.3344
OG0000132	El005G264200	evm.model.RL_8.1179
OG0000135	El007G346110	evm.model.RL_5.2242, evm.model.RL_4.523, evm.model.RL_3.1563, evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041
OG0000135	El007G327960	evm.model.RL_3.365
OG0000135	El001G045750	evm.model.RL_5.2429
OG0000136	El004G215950, El004G215940	evm.model.RL_3.1028
OG0000136	El003G186500	evm.model.RL_2.429
OG0000137	El002G124820, El003G184880	evm.model.RL_7.1543
OG0000137	El003G191580	evm.model.RL_2.50
OG0000139	El007G349680, El003G179680	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044
OG0000140	El001G016150	evm.model.RL_7.1690
OG0000140	El007G332020	evm.model.RL_8.2003
OG0000142	El006G303780	evm.model.RL_6.1032
OG0000142	El006G303820	evm.model.RL_6.1033, evm.model.RL_6.1034
OG0000142	El006G301970, El006G301960	evm.model.RL_6.789, evm.model.RL_6.1159
OG0000143	El003G186130	evm.model.RL_1.2794
OG0000144	El007G344160, El007G351410	evm.model.RL_8.1451
OG0000145	El005G270970, El001G000710	evm.model.RL_2.934
OG0000145	El001G043740, El002G114960	evm.model.RL_8.608
OG0000147	El003G152940	evm.model.RL_2.2536
OG0000147	El007G334350	evm.model.RL_8.1812
OG0000147	El004G233720	evm.model.RL_3.2406
OG0000147	El005G271430	evm.model.RL_1.2583
OG0000147	El006G316840	evm.model.RL_6.348
OG0000149	El001G015560	evm.model.RL_7.1738
OG0000150	El006G312860	evm.model.RL_8.2095
OG0000150	El006G312870, El001G014430	evm.model.RL_7.1807
OG0000150	El001G011280	evm.model.RL_7.1810
OG0000151	El007G339860	evm.model.RL_8.1422
OG0000151	El003G156070	evm.model.RL_2.2307
OG0000151	El005G243780	evm.model.RL_1.777
OG0000151	El005G243790	evm.model.RL_1.778
OG0000151	El005G273960	evm.model.RL_1.2853
OG0000151	El007G336000	evm.model.RL_8.1691
OG0000151	El004G194600, El003G193180	evm.model.RL_3.61
OG0000154	El005G244620	evm.model.RL_1.853
OG0000154	El004G209500	evm.model.RL_2.489
OG0000155	El005G272960	evm.model.RL_3.1179
OG0000156	El006G282820, El007G349010	evm.model.RL_4.1065
OG0000156	El006G282860	evm.model.RL_6.2692
OG0000156	El002G121590	evm.model.RL_8.1108, evm.model.RL_8.1107
OG0000156	El006G282830	evm.model.RL_6.2691
OG0000158	El003G176020, El005G265720, El005G267190	evm.model.RL_6.58
OG0000162	El007G330500	evm.model.RL_3.1091, evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000162	El006G283560, El006G283550	evm.model.RL_6.2628
OG0000165	El006G319440	evm.model.RL_1.2284
OG0000167	El003G166330	evm.model.RL_2.1517
OG0000167	El003G182660, El003G182640	evm.model.RL_2.1515
OG0000167	El003G166350	evm.model.RL_2.1514
OG0000169	El006G314460	evm.model.RL_6.454
OG0000171	El001G034570, El006G280730, El002G093670	evm.model.RL_6.2869
OG0000171	El004G222060, El002G108810	evm.model.RL_3.1439
OG0000171	El004G201030	evm.model.RL_3.461
OG0000171	El001G066810	evm.model.RL_4.2162.1.687c86d7
OG0000172	El001G034720	evm.model.RL_7.119
OG0000172	El001G034730	evm.model.RL_3.406, evm.model.RL_3.423
OG0000174	El005G261670	evm.model.RL_2.746, evm.model.RL_7.2138
OG0000174	El003G181040, El001G047190, El008G371470, El007G350780, El003G181660	evm.model.RL_1.3079
OG0000175	El001G021550	evm.model.RL_7.1254
OG0000175	El004G228610	evm.model.RL_3.1995
OG0000175	El002G104420	evm.model.RL_5.1839
OG0000175	El003G147420	evm.model.RL_2.3025
OG0000175	El003G146230	evm.model.RL_2.3122
OG0000177	El006G311500	evm.model.RL_2.478
OG0000178	El001G040000, El004G215500, El006G292960, El001G025380, El002G095060, El004G206380, El003G161220	evm.model.RL_3.909, evm.model.RL_1.2527, evm.model.RL_6.1504
OG0000183	El004G227200	evm.model.RL_3.1014
OG0000185	El004G210290	evm.model.RL_5.3641, evm.model.RL_3.292
OG0000185	El001G013560	evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287
OG0000187	El003G151270	evm.model.RL_2.2676
OG0000187	El005G246530	evm.model.RL_1.1017
OG0000188	El003G153830	evm.model.RL_8.964, evm.model.RL_8.2357
OG0000190	El001G005540	evm.model.RL_8.476, evm.model.RL_8.475
OG0000190	El001G005520	evm.model.RL_8.473
OG0000190	El001G005530	evm.model.RL_8.474.1.687c8557
OG0000190	El005G265350	evm.model.RL_8.916
OG0000192	El002G105680	evm.model.RL_5.3624
OG0000192	El002G105660	evm.model.RL_3.2103
OG0000195	El006G308260	evm.model.RL_6.761
OG0000195	El001G028150	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	El003G186220	evm.model.RL_2.437
OG0000195	El004G215670	evm.model.RL_3.1018
OG0000195	El001G012120	evm.model.RL_4.1537, evm.model.RL_7.1974
OG0000196	El002G115040	evm.model.RL_4.2554
